brand,product_name,product_family,sku_or_reference,category,subcategory,material,color,dimensions,market,country,currency,price,availability,source_url,observed_at,extraction_method
CHANEL,Sac classique 11.12,Classic 11.12,A01112-B25720-UB663,Handbags,Classic handbags,Veau grainé brillant & métal doré,Rouge foncé,15.5 x 25.5 x 6.5 cm,France,France,EUR,10500,contact_us,https://www.chanel.com/fr/mode/p/A01112B25720UB663/sac-classique-11-12-veau-graine-brillant-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Classic 11.12 Handbag,Classic 11.12,A01112-B25720-UB663,Handbags,Classic handbags,Grained Shiny Calfskin & Gold-Tone Metal,Dark Red,6.1 x 10 x 2.6 in,United States,United States,USD,11700,contact_us,https://www.chanel.com/us/fashion/p/A01112B25720UB663/classic-11-12-handbag-grained-shiny-calfskin-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Sac classique 11.12,Classic 11.12,A01112-B25747-94305,Handbags,Classic handbags,Agneau & métal doré,Noir,15.5 x 25.5 x 6.5 cm,France,France,EUR,10500,contact_us,https://www.chanel.com/fr/mode/p/A01112B2574794305/sac-classique-11-12-agneau-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Classic 11.12 Handbag,Classic 11.12,A01112-B25747-94305,Handbags,Classic handbags,Lambskin & Gold-Tone Metal,Black,6.1 x 10 x 2.6 in,United States,United States,USD,11700,contact_us,https://www.chanel.com/us/fashion/p/A01112B2574794305/classic-11-12-handbag-lambskin-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Sac classique 11.12,Classic 11.12,A01112-B25879-UC671,Handbags,Classic handbags,Tweed de coton et de laine & métal doré,"Blanc, bleu & rouge",15.5 x 25.5 x 6.5 cm,France,France,EUR,10000,contact_us,https://www.chanel.com/fr/mode/p/A01112B25879UC671/sac-classique-11-12-tweed-de-coton-et-de-laine-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Classic 11.12 Handbag,Classic 11.12,A01112-B25879-UC671,Handbags,Classic handbags,Cotton & Wool Tweed & Gold-Tone Metal,"White, Blue & Red",6.1 x 10 x 2.6 in,United States,United States,USD,11000,contact_us,https://www.chanel.com/us/fashion/p/A01112B25879UC671/classic-11-12-handbag-cotton-wool-tweed-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Sac classique 11.12,Classic 11.12,A01112-B25176-UC191,Handbags,Classic handbags,"Crêpe de laine brodée, raphia, perles de verre & métal doré",Écru & rouge,15.5 x 25.5 x 6.5 cm,France,France,,,contact_us,https://www.chanel.com/fr/mode/p/A01112B25176UC191/sac-classique-11-12-crepe-de-laine-brodee-raphia-perles-de-verre-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Classic 11.12 Handbag,Classic 11.12,A01112-B25176-UC191,Handbags,Classic handbags,"Embroidered Wool Crepe, Raffia, Glass Beads & Gold-Tone Metal",Ecru & Red,6.1 x 10 x 2.6 in,United States,United States,,,contact_us,https://www.chanel.com/us/fashion/p/A01112B25176UC191/classic-11-12-handbag-embroidered-wool-crepe-raffia-glass-beads-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Sac classique 11.12,Classic 11.12,A01112-B25087-UB640,Handbags,Classic handbags,"Denim brodé, perles de verres, strass & métal doré","Bleu, doré & vert",15.5 x 25.5 x 6.5 cm,France,France,,,contact_us,https://www.chanel.com/fr/mode/p/A01112B25087UB640/sac-classique-11-12-denim-brode-perles-de-verres-strass-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Classic 11.12 Handbag,Classic 11.12,A01112-B25087-UB640,Handbags,Classic handbags,"Embroidered Denim, Glass Beads, Strass & Gold-Tone Metal","Blue, Gold & Green",6.1 x 10 x 2.6 in,United States,United States,,,contact_us,https://www.chanel.com/us/fashion/p/A01112B25087UB640/classic-11-12-handbag-embroidered-denim-glass-beads-strass-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
