sku_or_reference,product_name,france_price,france_currency,france_url,us_price,us_currency,us_url,match_method
A01112-B25720-UB663,Classic 11.12 Handbag,10500,EUR,https://www.chanel.com/fr/mode/p/A01112B25720UB663/sac-classique-11-12-veau-graine-brillant-metal-dore/,11700,USD,https://www.chanel.com/us/fashion/p/A01112B25720UB663/classic-11-12-handbag-grained-shiny-calfskin-gold-tone-metal/,exact_official_reference
A01112-B25747-94305,Classic 11.12 Handbag,10500,EUR,https://www.chanel.com/fr/mode/p/A01112B2574794305/sac-classique-11-12-agneau-metal-dore/,11700,USD,https://www.chanel.com/us/fashion/p/A01112B2574794305/classic-11-12-handbag-lambskin-gold-tone-metal/,exact_official_reference
A01112-B25879-UC671,Classic 11.12 Handbag,10000,EUR,https://www.chanel.com/fr/mode/p/A01112B25879UC671/sac-classique-11-12-tweed-de-coton-et-de-laine-metal-dore/,11000,USD,https://www.chanel.com/us/fashion/p/A01112B25879UC671/classic-11-12-handbag-cotton-wool-tweed-gold-tone-metal/,exact_official_reference
A01112-B25176-UC191,Classic 11.12 Handbag,,,https://www.chanel.com/fr/mode/p/A01112B25176UC191/sac-classique-11-12-crepe-de-laine-brodee-raphia-perles-de-verre-metal-dore/,,,https://www.chanel.com/us/fashion/p/A01112B25176UC191/classic-11-12-handbag-embroidered-wool-crepe-raffia-glass-beads-gold-tone-metal/,exact_official_reference
A01112-B25087-UB640,Classic 11.12 Handbag,,,https://www.chanel.com/fr/mode/p/A01112B25087UB640/sac-classique-11-12-denim-brode-perles-de-verres-strass-metal-dore/,,,https://www.chanel.com/us/fashion/p/A01112B25087UB640/classic-11-12-handbag-embroidered-denim-glass-beads-strass-gold-tone-metal/,exact_official_reference
A01112-Y04059-U8390,Classic 11.12 Handbag,10500,EUR,https://www.chanel.com/fr/mode/p/A01112Y04059U8390/sac-classique-11-12-agneau-metal-dore/,11700,USD,https://www.chanel.com/us/fashion/p/A01112Y04059U8390/classic-11-12-handbag-lambskin-gold-tone-metal/,exact_official_reference
A01112-B24872-UA957,Classic 11.12 Handbag,10000,EUR,https://www.chanel.com/fr/mode/p/A01112B24872UA957/sac-classique-11-12-tweed-de-coton-et-de-laine-metal-dore/,11000,USD,https://www.chanel.com/us/fashion/p/A01112B24872UA957/classic-11-12-handbag-cotton-wool-tweed-gold-tone-metal/,exact_official_reference
A01112-B24048-94305,Classic 11.12 Handbag,12250,EUR,https://www.chanel.com/fr/mode/p/A01112B2404894305/sac-classique-11-12-agneau-email-strass-metal-argente-dore/,13500,USD,https://www.chanel.com/us/fashion/p/A01112B2404894305/classic-11-12-handbag-lambskin-enamel-strass-silver-tone-gold-tone-metal/,exact_official_reference
A01112-B24526-UA091,Classic 11.12 Handbag,,,https://www.chanel.com/fr/mode/p/A01112B24526UA091/sac-classique-11-12-jersey-brode-broderies-fleurs-metal-dore/,,,https://www.chanel.com/us/fashion/p/A01112B24526UA091/classic-11-12-handbag-embroidered-jersey-flowers-embroideries-gold-tone-metal/,exact_official_reference
A35200-Y04059-94305,Mini Classic Handbag,4850,EUR,https://www.chanel.com/fr/mode/p/A35200Y0405994305/mini-sac-classique-agneau-metal-dore/,5400,USD,https://www.chanel.com/us/fashion/p/A35200Y0405994305/mini-classic-handbag-lambskin-gold-tone-metal/,exact_official_reference
A69900-Y04059-94305,Mini Classic Handbag,5050,EUR,https://www.chanel.com/fr/mode/p/A69900Y0405994305/mini-sac-classique-agneau-metal-dore/,5600,USD,https://www.chanel.com/us/fashion/p/A69900Y0405994305/mini-classic-handbag-lambskin-gold-tone-metal/,exact_official_reference
A01113-Y01864-C3906,Small Classic Handbag,10100,EUR,https://www.chanel.com/fr/mode/p/A01113Y01864C3906/petit-sac-classique-veau-graine-metal-dore/,11300,USD,https://www.chanel.com/us/fashion/p/A01113Y01864C3906/small-classic-handbag-grained-calfskin-gold-tone-metal/,exact_official_reference
AS6495-B25347-UA954,Small Shopping Bag,5800,EUR,https://www.chanel.com/fr/mode/p/AS6495B25347UA954/petit-cabas-agneau-metal-dore/,6600,USD,https://www.chanel.com/us/fashion/p/AS6495B25347UA954/small-shopping-bag-lambskin-gold-tone-metal/,exact_official_reference
AS6199-B25388-94305,Mini Shopping Bag,5600,EUR,https://www.chanel.com/fr/mode/p/AS6199B2538894305/mini-cabas-veau-metal-dore/,6300,USD,https://www.chanel.com/us/fashion/p/AS6199B2538894305/mini-shopping-bag-calfskin-gold-tone-metal/,exact_official_reference
