brand,market,product_family,observations,numeric,numeric_share,minimum,p25,median,p75,maximum
CHANEL,FR,Bowling Bag,2,2,100.0%,5800,5900,6000,6100,6200
CHANEL,FR,Classic 11.12,9,6,66.7%,10000,10125,10500,10500,12250
CHANEL,FR,Mini Classic,2,2,100.0%,4850,4900,4950,5000,5050
CHANEL,FR,Shopping Bag,6,6,100.0%,4900,5650,5900,6375,6700
CHANEL,FR,Small Classic,1,1,100.0%,10100,10100,10100,10100,10100
CHANEL,US,Bowling Bag,2,2,100.0%,6500,6600,6700,6800,6900
CHANEL,US,Classic 11.12,9,6,66.7%,11000,11175,11700,11700,13500
CHANEL,US,Mini Classic,2,2,100.0%,5400,5450,5500,5550,5600
CHANEL,US,Shopping Bag,7,7,100.0%,5500,6200,6600,7000,7400
CHANEL,US,Small Classic,1,1,100.0%,11300,11300,11300,11300,11300
Hermès,FR,Balusoie,1,1,100.0%,2170,2170,2170,2170,2170
Hermès,FR,Della Cavalleria mini II,1,1,100.0%,5400,5400,5400,5400,5400
Hermès,FR,Della Cavalleria Élan,1,1,100.0%,5900,5900,5900,5900,5900
Hermès,FR,En Piste,1,1,100.0%,5300,5300,5300,5300,5300
Hermès,FR,Geta,1,1,100.0%,5300,5300,5300,5300,5300
Hermès,FR,Jypsière,1,1,100.0%,6850,6850,6850,6850,6850
Hermès,FR,Mini Médor,1,1,100.0%,4650,4650,4650,4650,4650
Hermès,FR,Médor Clous,1,1,100.0%,8150,8150,8150,8150,8150
Hermès,FR,Néo Double Sens,1,1,100.0%,4050,4050,4050,4050,4050
Hermès,FR,Néo Médor,1,1,100.0%,9100,9100,9100,9100,9100
Hermès,FR,P'tit Arçon,1,1,100.0%,3950,3950,3950,3950,3950
Hermès,FR,Petit Tour,1,1,100.0%,8900,8900,8900,8900,8900
Hermès,FR,Petite Course,1,1,100.0%,4150,4150,4150,4150,4150
Hermès,FR,Plume,1,1,100.0%,5650,5650,5650,5650,5650
Hermès,FR,Poche Cliquetis,2,2,100.0%,5600,5600,5600,5600,5600
Hermès,FR,Roulis,1,1,100.0%,7150,7150,7150,7150,7150
Hermès,FR,Victoria,1,1,100.0%,5750,5750,5750,5750,5750
Hermès,FR,Videpoches,2,2,100.0%,3300,3425,3550,3675,3800
Hermès,US,Della Cavalleria Elan,1,1,100.0%,8550,8550,8550,8550,8550
Hermès,US,Geta,1,1,100.0%,7650,7650,7650,7650,7650
