brand,market,currency,reference,product_family,price,band,bag_type_group,size_group,material_class,signature_class,source
CHANEL,FR,EUR,A01112-B25720-UB663,Classic 11.12,10500,Exceptional / icon,flap,compact,leather,icon_inferred,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,A01112-B25720-UB663,Classic 11.12,11700,Exceptional / icon,flap,compact,leather,icon_inferred,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,A01112-B25747-94305,Classic 11.12,10500,Exceptional / icon,flap,compact,leather,icon_inferred,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,A01112-B25747-94305,Classic 11.12,11700,Exceptional / icon,flap,compact,leather,icon_inferred,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,A01112-B25879-UC671,Classic 11.12,10000,Exceptional / icon,flap,compact,textile_or_mixed,icon_inferred,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,A01112-B25879-UC671,Classic 11.12,11000,Exceptional / icon,flap,compact,textile_or_mixed,icon_inferred,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,A01112-Y04059-U8390,Classic 11.12,10500,Exceptional / icon,flap,compact,leather,icon_inferred,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,A01112-Y04059-U8390,Classic 11.12,11700,Exceptional / icon,flap,compact,leather,icon_inferred,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,A01112-B24872-UA957,Classic 11.12,10000,Exceptional / icon,flap,compact,textile_or_mixed,icon_inferred,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,A01112-B24872-UA957,Classic 11.12,11000,Exceptional / icon,flap,compact,textile_or_mixed,icon_inferred,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,A01112-B24048-94305,Classic 11.12,12250,Exceptional / icon,flap,compact,leather,icon_inferred,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,A01112-B24048-94305,Classic 11.12,13500,Exceptional / icon,flap,compact,leather,icon_inferred,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,A35200-Y04059-94305,Mini Classic,4850,Core,flap,compact,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,A35200-Y04059-94305,Mini Classic,5400,Core,flap,compact,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,A69900-Y04059-94305,Mini Classic,5050,Premium core,flap,compact,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,A69900-Y04059-94305,Mini Classic,5600,Core,flap,compact,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,A01113-Y01864-C3906,Small Classic,10100,Exceptional / icon,flap,compact,leather,icon_inferred,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,A01113-Y01864-C3906,Small Classic,11300,Exceptional / icon,flap,compact,leather,icon_inferred,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,AS6495-B25347-UA954,Shopping Bag,5800,Premium core,tote,large,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,AS6495-B25347-UA954,Shopping Bag,6600,Premium core,tote,compact,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,AS6199-B25388-94305,Shopping Bag,5600,Premium core,tote,standard,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,AS6199-B25388-94305,Shopping Bag,6300,Premium core,tote,compact,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,AS6200-B25749-UD596,Shopping Bag,6100,Premium core,tote,compact,textile_or_mixed,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,AS6199-B25749-UD595,Shopping Bag,4900,Core,tote,standard,textile_or_mixed,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,AS6199-B25749-UD595,Shopping Bag,5500,Core,tote,compact,textile_or_mixed,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,AS6211-B25711-UB662,Bowling Bag,6200,Premium core,tote,large,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,AS6211-B25711-UB662,Bowling Bag,6900,Premium core,tote,compact,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,AS6580-B24074-U9390,Bowling Bag,5800,Premium core,tote,standard,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,AS6580-B24074-U9390,Bowling Bag,6500,Premium core,tote,compact,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,AS6590-B25996-U9390,Shopping Bag,6000,Premium core,tote,large,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,AS6590-B25996-U9390,Shopping Bag,6700,Premium core,tote,compact,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,AS6475-B25599-UD180,Shopping Bag,6500,Premium core,tote,large,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,AS6475-B25599-UD180,Shopping Bag,7300,Premium core,tote,compact,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,FR,EUR,AS6224-B24988-UA104,Shopping Bag,6700,Premium core,tote,large,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
CHANEL,US,USD,AS6224-B24988-UA104,Shopping Bag,7400,Premium core,tote,compact,leather,non_icon_observed,chanel_fr_us_handbags_current/clean_data.csv
Dior,FR,EUR,M1409OHSU_M09I,Dior Promenade,3800,Core,tote,large,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,US,USD,M1409OHSU_M09I,Dior Promenade,4500,Core,tote,large,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M1410OHST_M911,Dior Promenade,3400,Core,tote,standard,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,US,USD,M1410OHST_M911,Dior Promenade,4000,Core,tote,standard,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M1410OHST_M912,Dior Promenade,3400,Core,tote,standard,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,US,USD,M1410OHST_M912,Dior Promenade,4000,Core,tote,standard,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M1409OTZQ_M928,Dior Promenade,3000,Core,tote,large,other_or_unclear,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,US,USD,M1409OTZQ_M928,Dior Promenade,3600,Access / lower,tote,large,other_or_unclear,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M1325OWHP_M900,Dior Book Tote,3250,Core,tote,large,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,US,USD,M1325OWHP_M900,Dior Book Tote,3900,Access / lower,tote,large,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M2867ODKZ_M900,Dior Toujours,3100,Core,hobo,compact,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M1388OEJP_M918,Dior Blooming,3100,Core,tote,large,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,US,USD,M1388OEJP_M918,Dior Blooming,3700,Access / lower,tote,large,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M1388OEJP_M19I,Dior Blooming,3100,Core,tote,large,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,US,USD,M1388OEJP_M19I,Dior Blooming,3700,Access / lower,tote,large,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M1324OWHP_M51U,Dior Book Tote,3650,Core,tote,large,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M1354OEUB_M918,Dior Book Tote,3600,Core,tote,large,other_or_unclear,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M3920QDWP_M98H,Dior Médaillon,3500,Core,flap_or_clutch,compact,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M3919QDWP_M900,Dior Médaillon,3200,Core,flap_or_clutch,compact,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M1532QTZQ_M928,Dior Médaillon,3450,Core,bucket,large,other_or_unclear,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,US,USD,M1532QTZQ_M928,Dior Médaillon,4000,Core,bucket,large,other_or_unclear,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M1412PHJX_M79G,Diorly,3850,Core,shoulder,standard,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M1411OHJW_M911,Diorly,4500,Core,shoulder,large,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,US,USD,M1411OHJW_M911,Diorly,5200,Core,shoulder,large,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M0715OUQO_M900,Dior Bow,3700,Core,shoulder,standard,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,US,USD,M0715OUQO_M900,Dior Bow,4400,Core,shoulder,standard,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M0457CUQW_M900,Saddle,3650,Core,flap_or_clutch,compact,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,US,USD,M0457CUQW_M900,Saddle,4400,Core,flap_or_clutch,compact,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M2836OSNW_M900,Dior Toujours,3450,Core,tote,large,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,US,USD,M2836OSNW_M900,Dior Toujours,4100,Core,tote,large,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,FR,EUR,M2822OSNW_M900,Dior Toujours,3200,Core,tote,standard,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Dior,US,USD,M2822OSNW_M900,Dior Toujours,3900,Access / lower,tote,standard,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M29099,Multipass,1800,Access / lower,crossbody,compact,textile_or_mixed,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M3A247,Multipass,2000,Access / lower,crossbody,compact,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M3A389,Multipass,2000,Access / lower,crossbody,compact,textile_or_mixed,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M2A840,Multipass,2000,Access / lower,crossbody,compact,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M3A167,Squire,2200,Access / lower,top_handle,standard,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M3A079,Speedy,2600,Access / lower,top_handle,standard,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M3A843,Alma,2800,Access / lower,top_handle,standard,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M3A269,Multipass,2650,Access / lower,shoulder,standard,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M3A285,Multipass,2650,Access / lower,shoulder,standard,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M3A388,Express,3800,Core,tote,large,textile_or_mixed,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M3A265,Express,3500,Core,top_handle,standard,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M2A772,Bundle Trunk,3200,Core,shoulder,standard,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M3A259,Bundle Trunk,3200,Core,shoulder,standard,leather,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M3A307,Side Trunk,3600,Core,shoulder,standard,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M3A165,Speedy,3600,Core,top_handle,large,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M29552,Express,3700,Core,top_handle,standard,textile_or_mixed,other_unflagged_observed,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M3A842,Alma,2800,Access / lower,top_handle,standard,leather,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
Louis Vuitton,FR,EUR,M2A038,Speedy,3200,Core,top_handle,standard,textile_or_mixed,icon_supplied,luxury_competitor_pricing_current/clean/competitor_pricing_clean.csv
