brand,market,currency,lower_rank,upper_rank,lower_price,upper_price,absolute_step,relative_step_pct,step_definition
CHANEL,FR,EUR,1,2,4850,4900,50,1.03,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,2,3,4900,5050,150,3.06,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,3,4,5050,5600,550,10.89,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,4,5,5600,5800,200,3.57,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,5,6,5800,5800,0,0,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,6,7,5800,6000,200,3.45,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,7,8,6000,6200,200,3.33,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,8,9,6200,6500,300,4.84,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,9,10,6500,6700,200,3.08,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,10,11,6700,10000,3300,49.25,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,11,12,10000,10000,0,0,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,12,13,10000,10100,100,1,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,13,14,10100,10500,400,3.96,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,14,15,10500,10500,0,0,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,15,16,10500,10500,0,0,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,FR,EUR,16,17,10500,12250,1750,16.67,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,1,2,5400,5500,100,1.85,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,2,3,5500,5600,100,1.82,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,3,4,5600,6100,500,8.93,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,4,5,6100,6300,200,3.28,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,5,6,6300,6500,200,3.17,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,6,7,6500,6600,100,1.54,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,7,8,6600,6700,100,1.52,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,8,9,6700,6900,200,2.99,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,9,10,6900,7300,400,5.80,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,10,11,7300,7400,100,1.37,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,11,12,7400,11000,3600,48.65,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,12,13,11000,11000,0,0,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,13,14,11000,11300,300,2.73,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,14,15,11300,11700,400,3.54,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,15,16,11700,11700,0,0,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,16,17,11700,11700,0,0,adjacent sorted numeric SKU observations; duplicate prices retained
CHANEL,US,USD,17,18,11700,13500,1800,15.38,adjacent sorted numeric SKU observations; duplicate prices retained
Hermès,FR,EUR,1,2,2170,3300,1130,52.07,adjacent sorted numeric SKU observations; duplicate prices retained
Hermès,FR,EUR,2,3,3300,3800,500,15.15,adjacent sorted numeric SKU observations; duplicate prices retained
Hermès,FR,EUR,3,4,3800,3950,150,3.95,adjacent sorted numeric SKU observations; duplicate prices retained
Hermès,FR,EUR,4,5,3950,4050,100,2.53,adjacent sorted numeric SKU observations; duplicate prices retained
Hermès,FR,EUR,5,6,4050,4150,100,2.47,adjacent sorted numeric SKU observations; duplicate prices retained
Hermès,FR,EUR,6,7,4150,4650,500,12.05,adjacent sorted numeric SKU observations; duplicate prices retained
