source_id,entity,reporting_scope,source_type,source_title,source_url,publication_date,official_or_secondary,page_or_section,notes
CH-FY17,Chanel,consolidated_company,official_financial_release,CHANEL Limited Financial Results for the year ended 31 December 2017,https://www.chanel.com/puls-img/1730292703276-chanellimitedfinancialresultsfortheyearended31december2017emeapdf.pdf,2018-06-21,official,"pp. 1, 3 / Financial Highlights",Chanel Limited consolidates the main entities of CHANEL worldwide; 2017 source reports rounded and exact million-dollar figures.
CH-FY18,Chanel,consolidated_company,official_financial_release,CHANEL Limited Financial Results for the year ended 31 December 2018,https://www.chanel.com/puls-img/1730301368943-chanellimitedfinancialresultsfortheyearended31december2018pdf.pdf,2019-06-17,official,"pp. 1, 3 / Financial Highlights",2017 comparative is restated for merger accounting related to common-control entities.
CH-FY19,Chanel,consolidated_company,official_financial_release,CHANEL Limited Financial Results for the year ended 31 December 2019,https://www.chanel.com/puls-img/1730292703542-chanellimitedfinancialresultsfortheyearended31december2019emeapdf.pdf,2020-06-18,official,"pp. 1, 3 / Financial Summary and definitions",Company-wide consolidated figures; free cash flow and capital investment definitions are retained in the source notes.
CH-FY20,Chanel,consolidated_company,official_financial_release,CHANEL Limited Financial Results for the year ended 31 December 2020,https://www.chanel.com/puls-img/1730292703574-pressrelease2020resultsengfinalemeapdf.pdf,2021-06-15,official,pp. 1–2 / Financial Highlights,Original FY2020 release; FY2021 later restated certain financial KPIs after a SaaS accounting policy change.
CH-FY21,Chanel,consolidated_company,official_financial_release,CHANEL Limited Financial Results for the year ended 31 December 2021,https://www.chanel.com/puls-img/1730292703516-pressrelease2021resultsengfinalemeapdf.pdf,2022-05-24,official,p. 3 / 2021–2020 (restated)–2019 (restated) table,Selected basis for the main 2020–2025 Chanel panel where the release explicitly provides restated comparatives.
CH-FY22,Chanel,consolidated_company,official_financial_release,CHANEL Limited Financial Results for the year ended 31 December 2022,https://www.chanel.com/puls-img/1730292703537-10202336657438pressrelease2022resultsengfinalemeapdf.pdf,2023-05-25,official,pp. 1–2 / Financial Highlights and operational highlights,"Revenue is reported as $17.2bn in the release; stored as rounded $17,200m, not false-precision exact revenue."
CH-FY23,Chanel,consolidated_company,official_financial_release,CHANEL Limited Financial Results for the year ended 31 December 2023,https://www.chanel.com/puls-img/1716301904618-pressrelease2023resultsengfinalpdf.pdf,2024-05-21,official,pp. 1–2 / Financial Highlights and operational highlights,"Revenue is reported as $19.7bn in the release; stored as rounded $19,700m."
CH-FY24,Chanel,consolidated_company,official_financial_release,CHANEL Limited Financial Results for the year ended 31 December 2024,https://www.chanel.com/puls-img/1747810519727-20250520fy24resultspressreleasefinalwwpdf.pdf,2025-05-20,official,pp. 1–2 / Financial Highlights and investment commentary,2024 release labels the year a record year of investment and explains the comparable-growth basis.
CH-FY25,Chanel,consolidated_company,official_financial_release,CHANEL Limited Financial Results for the year ended 31 December 2025,https://www.chanel.com/puls-img/1779118002743-fy25-results-press-release-en-final.pdf,2026-05-19,official,"pp. 1, 4 / Financial Highlights and definitions","2025 release reports $19,269m revenue, reported +3.0% and comparable +1.8%; source publication is after FY2025 close."
HM-FY20,Hermès,group_and_métier,official_urd,Hermès 2020 Universal Registration Document,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2021-04/1619702282/hermes-urd2020-en.pdf,2021-04-29,official,"pp. 25, 26, 370–371 / key consolidated data and revenue by métier","2020 group and Leather Goods & Saddlery revenue, recurring operating income, operating investments and adjusted free cash flow."
