observation_id,brand,product_name,product_family,official_sku_or_reference,category,subcategory,bag_type,collection,iconic_or_signature_flag,material,color,hardware,dimensions_raw,width_cm,height_cm,depth_cm,size_label,market,country,currency,price,price_status,availability,source_url,observed_at,extraction_method,discovery_source_url,discovered_at
DIOR-FR-M1409OHSU_M09I-20260815,Dior,Sac shopping Dior Promenade Medium,Dior Promenade,M1409OHSU_M09I,handbags,handbag,tote,Automne-Hiver 2026-2027 Fashion Show,,Veau velours Flat Cannage,kaki,Gold-finish Dior signature hardware,37 x 29 x 14 cm (Longueur x Hauteur x Largeur),37,29,14,medium,FR,France,EUR,3800,numeric,available_online,https://www.dior.com/fr_fr/fashion/products/M1409OHSU_M09I,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://www.dior.com/fr_fr/fashion/mode-femme/sacs/tous-les-sacs,2026-08-15T20:20:39+08:00
DIOR-US-M1409OHSU_M09I-20260815,Dior,Sac shopping Dior Promenade Medium,Dior Promenade,M1409OHSU_M09I,handbags,handbag,tote,Automne-Hiver 2026-2027 Fashion Show,,Veau velours Flat Cannage,kaki,Gold-finish Dior signature hardware,37 x 29 x 14 cm (Longueur x Hauteur x Largeur),37,29,14,medium,US,United States,USD,4500,numeric,available_online,https://www.dior.com/en_us/fashion/products/M1409OHSU_M09I,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://www.dior.com/en_us/fashion/womens-fashion/bags/all-the-bags,2026-08-15T20:20:39+08:00
DIOR-FR-M1410OHST_M911-20260815,Dior,Sac shopping Dior Promenade Small,Dior Promenade,M1410OHST_M911,handbags,handbag,tote,Automne-Hiver 2026-2027 Fashion Show,,Veau calfskin Flat Cannage,black,Gold-finish Dior signature hardware,27 x 20 x 12.5 cm (Longueur x Hauteur x Largeur),27,20,12.5,small,FR,France,EUR,3400,numeric,available_online,https://www.dior.com/fr_fr/fashion/products/M1410OHST_M911,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://www.dior.com/fr_fr/fashion/mode-femme/sacs/tous-les-sacs,2026-08-15T20:20:39+08:00
DIOR-US-M1410OHST_M911-20260815,Dior,Sac shopping Dior Promenade Small,Dior Promenade,M1410OHST_M911,handbags,handbag,tote,Automne-Hiver 2026-2027 Fashion Show,,Veau calfskin Flat Cannage,black,Gold-finish Dior signature hardware,27 x 20 x 12.5 cm (Longueur x Hauteur x Largeur),27,20,12.5,small,US,United States,USD,4000,numeric,available_online,https://www.dior.com/en_us/fashion/products/M1410OHST_M911,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://www.dior.com/en_us/fashion/womens-fashion/bags/all-the-bags,2026-08-15T20:20:39+08:00
DIOR-FR-M1410OHST_M912-20260815,Dior,Sac shopping Dior Promenade Small,Dior Promenade,M1410OHST_M912,handbags,handbag,tote,Automne-Hiver 2026-2027 Fashion Show,,Veau calfskin Flat Cannage,pink,Gold-finish Dior signature hardware,27 x 20 x 12.5 cm (Longueur x Hauteur x Largeur),27,20,12.5,small,FR,France,EUR,3400,numeric,available_online,https://www.dior.com/fr_fr/fashion/products/M1410OHST_M912,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://www.dior.com/fr_fr/fashion/mode-femme/sacs/tous-les-sacs,2026-08-15T20:20:39+08:00
DIOR-US-M1410OHST_M912-20260815,Dior,Sac shopping Dior Promenade Small,Dior Promenade,M1410OHST_M912,handbags,handbag,tote,Automne-Hiver 2026-2027 Fashion Show,,Veau calfskin Flat Cannage,pink,Gold-finish Dior signature hardware,27 x 20 x 12.5 cm (Longueur x Hauteur x Largeur),27,20,12.5,small,US,United States,USD,4000,numeric,available_online,https://www.dior.com/en_us/fashion/products/M1410OHST_M912,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://www.dior.com/en_us/fashion/womens-fashion/bags/all-the-bags,2026-08-15T20:20:39+08:00
DIOR-FR-M1409OTZQ_M928-20260815,Dior,Sac shopping Dior Promenade Medium,Dior Promenade,M1409OTZQ_M928,handbags,handbag,tote,Automne-Hiver 2026-2027 Fashion Show,,Dior Oblique jacquard,blue,Gold-finish Dior signature hardware,37 x 29 x 14 cm (Longueur x Hauteur x Largeur),37,29,14,medium,FR,France,EUR,3000,numeric,available_online,https://www.dior.com/fr_fr/fashion/products/M1409OTZQ_M928,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://www.dior.com/fr_fr/fashion/mode-femme/sacs/tous-les-sacs,2026-08-15T20:20:39+08:00
DIOR-US-M1409OTZQ_M928-20260815,Dior,Sac shopping Dior Promenade Medium,Dior Promenade,M1409OTZQ_M928,handbags,handbag,tote,Automne-Hiver 2026-2027 Fashion Show,,Dior Oblique jacquard,blue,Gold-finish Dior signature hardware,37 x 29 x 14 cm (Longueur x Hauteur x Largeur),37,29,14,medium,US,United States,USD,3600,numeric,available_online,https://www.dior.com/en_us/fashion/products/M1409OTZQ_M928,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://www.dior.com/en_us/fashion/womens-fashion/bags/all-the-bags,2026-08-15T20:20:39+08:00
DIOR-FR-M1325OWHP_M900-20260815,Dior,Small Dior Book Tote,Dior Book Tote,M1325OWHP_M900,handbags,handbag,tote,Automne-Hiver 2026-2027 Fashion Show,True,Macrocannage calfskin,black,Gold-finish Dior signature hardware,26.5 x 22 x 14 cm (Longueur x Hauteur x Largeur),26.5,22,14,small,FR,France,EUR,3250,numeric,available_online,https://www.dior.com/fr_fr/fashion/products/M1325OWHP_M900,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://www.dior.com/fr_fr/fashion/mode-femme/sacs/tous-les-sacs,2026-08-15T20:20:39+08:00
DIOR-US-M1325OWHP_M900-20260815,Dior,Small Dior Book Tote,Dior Book Tote,M1325OWHP_M900,handbags,handbag,tote,Automne-Hiver 2026-2027 Fashion Show,True,Macrocannage calfskin,black,Gold-finish Dior signature hardware,26.5 x 22 x 14 cm (Longueur x Hauteur x Largeur),26.5,22,14,small,US,United States,USD,3900,numeric,available_online,https://www.dior.com/en_us/fashion/products/M1325OWHP_M900,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://www.dior.com/en_us/fashion/womens-fashion/bags/all-the-bags,2026-08-15T20:20:39+08:00
