observation_id,brand,product_name,product_family,official_sku_or_reference,category,subcategory,bag_type,collection,iconic_or_signature_flag,material,color,hardware,dimensions_raw,width_cm,height_cm,depth_cm,size_label,market,country,currency,price,price_status,availability,source_url,observed_at,extraction_method,discovery_source_url,discovered_at
LOUIS_VUITTON-FR-M29099-20260815,Louis Vuitton,Sac Multipass Mini,Multipass,M29099,handbags,handbag,crossbody,,True,Toile Monogram,Monogram,Gold-tone hardware,17.5 x 18 x 9.5 cm (Longueur x Hauteur x Largeur),17.5,18,9.5,mini,FR,France,EUR,1800,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/sac-multipass-mini-monogram-nvprod7890075v/M29099,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M3A247-20260815,Louis Vuitton,Sac Multipass Mini,Multipass,M3A247,handbags,handbag,crossbody,,True,Fashion Leather,Monogram Rouge,Gold-tone hardware,17.5 x 18 x 9.5 cm (Longueur x Hauteur x Largeur),17.5,18,9.5,mini,FR,France,EUR,2000,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/sac-multipass-mini-other-leathers-nvprod7890076v/M3A247,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M3A389-20260815,Louis Vuitton,Sac Multipass Mini,Multipass,M3A389,handbags,handbag,crossbody,,True,Textile / Other Canvas,Silver Blue,Gold-tone hardware,17.5 x 18 x 9.5 cm (Longueur x Hauteur x Largeur),17.5,18,9.5,mini,FR,France,EUR,2000,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/sac-multipass-mini-nvprod7890081v/M3A389,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M2A840-20260815,Louis Vuitton,Sac Multipass Mini,Multipass,M2A840,handbags,handbag,crossbody,,True,Other leathers,black,Gold-tone hardware,17.5 x 18 x 9.5 cm (Longueur x Hauteur x Largeur),17.5,18,9.5,mini,FR,France,EUR,2000,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/sac-multipass-mini-other-leathers-nvprod7890076v/M2A840,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M3A167-20260815,Louis Vuitton,Sac Squire East West,Squire,M3A167,handbags,handbag,top_handle_bag,,,Boldly Black calfskin,black,Gold-tone hardware,29 x 14 x 8 cm (Longueur x Hauteur x Largeur),29,14,8,east_west,FR,France,EUR,2200,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/sac-squire-east-west-nvprod7890168v/M3A167,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M3A079-20260815,Louis Vuitton,Sac Speedy Bandoulière 20 G75,Speedy,M3A079,handbags,handbag,top_handle_bag,,True,Boldly Black calfskin,black,Gold-tone hardware,20.5 x 13.5 x 12 cm (Longueur x Hauteur x Largeur),20.5,13.5,12,20,FR,France,EUR,2600,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/sac-speedy-bandouliere-20-g75-nvprod7890169v/M3A079,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M3A843-20260815,Louis Vuitton,Sac Alma BB,Alma,M3A843,handbags,handbag,top_handle_bag,,True,Private Sage calfskin,green,Gold-tone hardware,23.5 x 17.5 x 11.5 cm (Longueur x Hauteur x Largeur),23.5,17.5,11.5,BB,FR,France,EUR,2800,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/alma-bb-other-leathers-nvprod7890071v/M3A843,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M3A269-20260815,Louis Vuitton,Sac Multipass,Multipass,M3A269,handbags,handbag,shoulder_bag,,True,Saga Acajou calfskin,Acajou,Gold-tone hardware,30 x 26 x 10 cm (Longueur x Hauteur x Largeur),30,26,10,standard,FR,France,EUR,2650,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/sac-multipass-other-leathers-nvprod7150031v/M3A269,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M3A285-20260815,Louis Vuitton,Sac Multipass,Multipass,M3A285,handbags,handbag,shoulder_bag,,True,Fashion Leather,Monogram Rouge,Gold-tone hardware,30 x 26 x 10 cm (Longueur x Hauteur x Largeur),30,26,10,standard,FR,France,EUR,2650,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/sac-multipass-other-leathers-nvprod7150031v/M3A285,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
LOUIS_VUITTON-FR-M3A388-20260815,Louis Vuitton,Sac Express MM,Express,M3A388,handbags,handbag,tote,,,Textile / Wild Denim,Silver Blue,Gold-tone hardware,36 x 24 x 18.5 cm (Longueur x Hauteur x Largeur),36,24,18.5,MM,FR,France,EUR,3800,numeric,available_online,https://fr.louisvuitton.com/fra-fr/produits/sac-express-mm-nvprod7890082v/M3A388,2026-08-15T20:20:39+08:00,browser_rendered_web_dom,https://fr.louisvuitton.com/fra-fr/femme/sacs-a-main/nouveautes-sacs-a-main/_/N-t9zmtum-bl14e0mqi,2026-08-15T20:20:39+08:00
