source_id,brand,product_lineage_id,source_type,source_name,original_url,archive_url,source_date,accessed_at,primary_or_secondary,source_quality,notes
SRC-CH-C01-BAGAHOLIC-2024,Chanel,CH-C01,historical_secondary_table,Bagaholic Chanel Classic EU price reference guide 2024,https://lvbagaholic.com/fr/blogs/blog-de-bagaholic-1/chanel-classic-bag-sac-eu-prix-list-reference-guide,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Table rows for 2022–2024 medium Classic.
SRC-CH-C02-BAGAHOLIC-2024,Chanel,CH-C02,historical_secondary_table,Bagaholic Chanel Classic EU price reference guide 2024,https://lvbagaholic.com/fr/blogs/blog-de-bagaholic-1/chanel-classic-bag-sac-eu-prix-list-reference-guide,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Table rows for 2022–2024 Small Classic.
SRC-CH-C03-BAGAHOLIC-2024,Chanel,CH-C03,historical_secondary_table,Bagaholic Chanel Classic EU price reference guide 2024,https://lvbagaholic.com/fr/blogs/blog-de-bagaholic-1/chanel-classic-bag-sac-eu-prix-list-reference-guide,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Table rows for 2022–2024 square mini.
SRC-CH-C04-BAGAHOLIC-2024,Chanel,CH-C04,historical_secondary_table,Bagaholic Chanel Classic EU price reference guide 2024,https://lvbagaholic.com/fr/blogs/blog-de-bagaholic-1/chanel-classic-bag-sac-eu-prix-list-reference-guide,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Table rows for 2022–2024 rectangular mini.
SRC-CH-C03-PURSEBOP-2020,Chanel,CH-C03,historical_secondary_table,PurseBop Chanel price increase 2020,https://www.pursebop.com/chanel-admits-to-price-increase-here-are-the-new-prices-2020/,,2020,2026-08-16T17:58:39+08:00,secondary,MEDIUM,2020 square-mini price point; source table also includes a prior price.
SRC-HM-H01-PURSEBOP-EU-2024,Hermès,HM-H01,historical_secondary_table,PurseBop confirmed Hermès Europe prices 2024,https://www.pursebop.com/new-confirmed-hermes-prices-in-europe-2024/,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,"Geta Europe table reports 2023 EUR 4,550 and 2024 EUR 4,850."
SRC-HM-H01-LUXEFRONT-2022,Hermès,HM-H01,historical_secondary_table,Luxe Front Hermès bag prices,https://luxefront.com/2022/12/02/hermes-bag-prices/,,2022-12-02,2026-08-16T17:58:39+08:00,secondary,MEDIUM,"Page includes 2022 table and January 2023 update; Geta 2023 update reports EUR 5,550."
SRC-HM-H01-PURSEBLOG-US-2024,Hermès,HM-H01,historical_secondary_table,PurseBlog Hermès price increase 2024,https://www.purseblog.com/hermes/hermes-price-increase-2024-its-here-already/,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,"Geta US table reports 2023 USD 5,950 and 2024 USD 6,450."
SRC-HM-H02-PURSEBOP-EU-2024,Hermès,HM-H02,historical_secondary_table,PurseBop confirmed Hermès Europe prices 2024,https://www.pursebop.com/new-confirmed-hermes-prices-in-europe-2024/,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,"Mini Jypsiere Europe table reports 2023 EUR 5,500 and 2024 EUR 6,000."
SRC-LV-L01-BAGAHOLIC-2021,Louis Vuitton,LV-L01,historical_secondary_table,Bagaholic Louis Vuitton price increase January 2021,https://lvbagaholic.com/blogs/lv_bagaholic/louis-vuitton-increases-prices-worldwide-in-january-2021,,2021,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Speedy B25 old/new 2021 prices in EUR and USD.
SRC-LV-L01-LUXEFRONT-2022,Louis Vuitton,LV-L01,historical_secondary_table,Luxe Front Louis Vuitton price list,https://luxefront.com/2022/12/13/louis-vuitton-bag-price-list-complete-guide-usd-eur/,,2022-12-13,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Speedy Bandouliere 25 canvas 2022/2023 table.
SRC-LV-L01-PURSEBOP-2024,Louis Vuitton,LV-L01,historical_secondary_table,PurseBop Louis Vuitton global price increase 2024,https://www.pursebop.com/louis-vuitton-global-price-increase-2024/,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Speedy Bandouliere 25 Europe and US 2024 table.
