snapshot_id,brand,market,currency,family,accepted_observations,numeric_observations,unique_reference_count,devariant_group_count,price_upon_request_count,unresolved_count,unknown_material_count,scope_note
current_2026-08-15,Chanel,FR,EUR,Bowling Bag,2,2,2,2,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Chanel,FR,EUR,Classic 11.12,9,6,9,3,3,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Chanel,FR,EUR,Mini Classic,2,2,2,2,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Chanel,FR,EUR,Shopping Bag,6,6,6,6,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Chanel,FR,EUR,Small Classic,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Chanel,US,USD,Bowling Bag,2,2,2,2,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Chanel,US,USD,Classic 11.12,9,6,9,3,3,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Chanel,US,USD,Mini Classic,2,2,2,2,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Chanel,US,USD,Shopping Bag,7,7,7,7,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Chanel,US,USD,Small Classic,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Balusoie,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Della Cavalleria mini II,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Della Cavalleria Élan,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,En Piste,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Geta,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Jypsière,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Mini Médor,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Médor Clous,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Néo Double Sens,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Néo Médor,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,P'tit Arçon,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Petit Tour,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Petite Course,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Plume,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Poche Cliquetis,2,2,2,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Roulis,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Victoria,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,FR,EUR,Videpoches,2,2,2,2,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,US,USD,Della Cavalleria Elan,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,US,USD,Geta,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,US,USD,Hac a Dos,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,US,USD,Herbag,2,2,2,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,US,USD,Horseback,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,US,USD,Jypsière,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,US,USD,Kelly depeches,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,US,USD,Neo Garden Voyage,2,2,2,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,US,USD,P'tit Arçon,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,US,USD,Silkycity,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,US,USD,Tablier Sellier,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Hermès,US,USD,Videpoches,7,7,7,3,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,FR,EUR,Alma,2,2,2,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,FR,EUR,Bundle Trunk,2,2,2,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,FR,EUR,Express,3,3,3,3,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,FR,EUR,Multipass,6,6,6,4,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,FR,EUR,OnTheGo,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,FR,EUR,Side Trunk,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,FR,EUR,Speedy,4,4,4,4,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,FR,EUR,Squire,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,US,USD,Alma,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,US,USD,Boulogne,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,US,USD,CarryAll,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,US,USD,Diane,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
current_2026-08-15,Louis Vuitton,US,USD,Frivole,1,1,1,1,0,0,0,Counts describe accepted local observations; they are not official assortment coverage.
