snapshot_id,brand,market,currency,observed_at,source_effective_date,reference_code,product_name,price_status,price,material_raw,color,dimensions_raw,source_url,extraction_method,page_status,notes
refresh_2026-09-07_us:Chanel:AS6568B25713UD698,Chanel,US,USD,2026-09-07T17:48:15+08:00,2026-09-07,AS6568B25713UD698,"Flap Bag",numeric,7100,"Suede Calfskin Patchwork & Gold-Tone Metal","Beige, Gray, Red & Black",,"https://www.chanel.com/us/fashion/p/AS6568B25713UD698/flap-bag-suede-calfskin-patchwork-gold-tone-metal/",browser_rendered_dom,ok,"Live detail DOM; numeric dimensions not exposed in visible page."
refresh_2026-09-07_us:Chanel:AS6627B25748U7942,Chanel,US,USD,2026-09-07T17:48:15+08:00,2026-09-07,AS6627B25748U7942,"Maxi Flap Bag",numeric,8700,"Suede Calfskin & Gold-Tone Metal",Burgundy,,"https://www.chanel.com/us/fashion/p/AS6627B25748U7942/maxi-flap-bag-suede-calfskin-gold-tone-metal/",browser_rendered_dom,ok,"Live detail DOM; numeric dimensions not exposed in visible page."
refresh_2026-09-07_us:Chanel:AS6495B25347UC476,Chanel,US,USD,2026-09-07T17:48:15+08:00,2026-09-07,AS6495B25347UC476,"Small Shopping Bag",numeric,6600,"Lambskin & Gold-Tone Metal","Dark Brown",,"https://www.chanel.com/us/fashion/p/AS6495B25347UC476/small-shopping-bag-lambskin-gold-tone-metal/",browser_rendered_dom,ok,"Live detail DOM; numeric dimensions not exposed in visible page."
refresh_2026-09-07_us:Chanel:AS6498B25468UC476,Chanel,US,USD,2026-09-07T17:48:15+08:00,2026-09-07,AS6498B25468UC476,"Small Flap Bag",numeric,5900,"Patinated Lambskin & Gold-Tone Metal","Dark Brown",,"https://www.chanel.com/us/fashion/p/AS6498B25468UC476/small-flap-bag-patinated-lambskin-gold-tone-metal/",browser_rendered_dom,ok,"Live detail DOM; numeric dimensions not exposed in visible page."
refresh_2026-09-07_us:Chanel:AS6497B25468UC476,Chanel,US,USD,2026-09-07T17:48:15+08:00,2026-09-07,AS6497B25468UC476,"Flap Bag",numeric,6700,"Patinated Lambskin & Gold-Tone Metal","Dark Brown",,"https://www.chanel.com/us/fashion/p/AS6497B25468UC476/flap-bag-patinated-lambskin-gold-tone-metal/",browser_rendered_dom,ok,"Live detail DOM; numeric dimensions not exposed in visible page."
refresh_2026-09-07_us:Chanel:AS6495B25347UA954,Chanel,US,USD,2026-09-07T17:48:15+08:00,2026-09-07,AS6495B25347UA954,"Small Shopping Bag",numeric,6600,"Lambskin & Gold-Tone Metal","Light Pink",,"https://www.chanel.com/us/fashion/p/AS6495B25347UA954/small-shopping-bag-lambskin-gold-tone-metal/",browser_rendered_dom,ok,"Live detail DOM; numeric dimensions not exposed in visible page."
refresh_2026-09-07_us:Chanel:AS5631B24704UA954,Chanel,US,USD,2026-09-07T17:48:15+08:00,2026-09-07,AS5631B24704UA954,"Chanel 25 Mini Handbag",numeric,6300,"Grained Calfskin & Gold-Tone Metal","Light Pink",,"https://www.chanel.com/us/fashion/p/AS5631B24704UA954/chanel-25-mini-handbag-grained-calfskin-gold-tone-metal/",browser_rendered_dom,ok,"Live detail DOM; numeric dimensions not exposed in visible page."
refresh_2026-09-07_us:Chanel:AS5293B24704UC018,Chanel,US,USD,2026-09-07T17:48:15+08:00,2026-09-07,AS5293B24704UC018,"Chanel 25 Small Handbag",numeric,6700,"Grained Calfskin & Gold-Tone Metal",Green,,"https://www.chanel.com/us/fashion/p/AS5293B24704UC018/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/",browser_rendered_dom,ok,"Live detail DOM; numeric dimensions not exposed in visible page."
refresh_2026-09-07_us:Chanel:AS6627B24009U3951,Chanel,US,USD,2026-09-07T17:48:15+08:00,2026-09-07,AS6627B24009U3951,"Maxi Flap Bag",numeric,8500,"Suede Calfskin & Gold-Tone Metal",Khaki,,"https://www.chanel.com/us/fashion/p/AS6627B24009U3951/maxi-flap-bag-suede-calfskin-gold-tone-metal/",browser_rendered_dom,ok,"Live detail DOM; numeric dimensions not exposed in visible page."
refresh_2026-09-07_us:Chanel:AS6465B25591UA848,Chanel,US,USD,2026-09-07T17:48:15+08:00,2026-09-07,AS6465B25591UA848,Backpack,numeric,7400,"Suede Calfskin & Gold-Tone Metal","Dark Gray",,"https://www.chanel.com/us/fashion/p/AS6465B25591UA848/backpack-suede-calfskin-gold-tone-metal/",browser_rendered_dom,ok,"Live detail DOM; numeric dimensions not exposed in visible page."
refresh_2026-09-07_us:Chanel:AS6231B24332UA206,Chanel,US,USD,2026-09-07T17:48:15+08:00,2026-09-07,AS6231B24332UA206,"Maxi Flap Bag",numeric,8500,"Grained Calfskin & Gold-Tone Metal",Gray,,"https://www.chanel.com/us/fashion/p/AS6231B24332UA206/maxi-flap-bag-grained-calfskin-gold-tone-metal/",browser_rendered_dom,ok,"Live detail DOM; numeric dimensions not exposed in visible page."
refresh_2026-09-07_us:Chanel:AS6627B24009UA848,Chanel,US,USD,2026-09-07T17:48:15+08:00,2026-09-07,AS6627B24009UA848,"Maxi Flap Bag",numeric,8500,"Suede Calfskin & Gold-Tone Metal","Dark Gray",,"https://www.chanel.com/us/fashion/p/AS6627B24009UA848/maxi-flap-bag-suede-calfskin-gold-tone-metal/",browser_rendered_dom,ok,"Live detail DOM; numeric dimensions not exposed in visible page."
refresh_2026-09-07_us:Chanel:A01113Y04059UB639,Chanel,US,USD,2026-09-07T17:48:15+08:00,2026-09-07,A01113Y04059UB639,"Small Classic Handbag",numeric,11300,"Lambskin & Gold-Tone Metal","Dark Blue",,"https://www.chanel.com/us/fashion/p/A01113Y04059UB639/small-classic-handbag-lambskin-gold-tone-metal/",browser_rendered_dom,ok,"Live detail DOM; numeric dimensions not exposed in visible page."
