product_id,brand,family,model,size_label,use_tag,bag_type,canonical_reference,material_raw,material_group,color,dimensions_cm,regular_special,collection_label,availability_status,identity_status,source_url_fr,source_url_us,notes
CH-SUP-255-A37586-B23746-94305,Chanel,2.55,2.55 Handbag,unknown,flap,flap,A37586-B23746-94305,Lambskin & Gold-Tone Metal,leather,Black,16 x 24 x 7.5 cm,seasonal_collection,Spring Summer 2026,contact_or_boutique,verified_official_reference_and_attributes,https://www.chanel.com/fr/mode/p/A37586B2374694305/sac-2-55-agneau-metal-dore/,https://www.chanel.com/us/fashion/p/A37586B2374694305/2-55-handbag-lambskin-gold-tone-metal/,Seasonal collection row; keep outside a regular-core headline unless sensitivity is explicit.
CH-SUP-255-A37586-Y04634-C3906,Chanel,2.55,2.55 Handbag,unknown,flap,flap,A37586-Y04634-C3906,Aged Calfskin & Gold-Tone Metal,leather,Black & Burgundy,16 x 24 x 7.5 cm,not_disclosed,,contact_or_boutique,verified_official_reference_and_attributes,https://www.chanel.com/fr/mode/p/A37586Y04634C3906/sac-2-55-veau-vieilli-metal-dore/,https://www.chanel.com/us/fashion/p/A37586Y04634C3906/2-55-handbag-aged-calfskin-gold-tone-metal/,
CH-SUP-BOY-A67085-Y09953-94305,Chanel,Boy,Small BOY CHANEL Handbag,small,flap,flap,A67085-Y09953-94305,Calfskin & Ruthenium-Finish Metal,leather,Black,12 x 20.5 x 8.5 cm,not_disclosed,,contact_or_boutique,verified_official_reference_and_attributes,https://www.chanel.com/fr/mode/p/A67085Y0995394305/petit-sac-boy-chanel-veau-metal-finition-ruthenium/,https://www.chanel.com/us/fashion/p/A67085Y0995394305/small-boy-chanel-handbag-calfskin-ruthenium-finish-metal/,
CH-SUP-BOY-A67086-Y09953-94305,Chanel,Boy,BOY CHANEL Handbag,standard,flap,flap,A67086-Y09953-94305,Calfskin & Ruthenium-Finish Metal,leather,Black,15 x 25 x 9 cm,not_disclosed,,contact_or_boutique,verified_official_reference_and_attributes,https://www.chanel.com/fr/mode/p/A67086Y0995394305/sac-boy-chanel-veau-metal-finition-ruthenium/,https://www.chanel.com/us/fashion/p/A67086Y0995394305/boy-chanel-handbag-calfskin-ruthenium-finish-metal/,
CH-SUP-19-AS1160-B04852-94305,Chanel,Chanel 19,CHANEL 19 Handbag,standard,shoulder,shoulder,AS1160-B04852-94305,"Shiny Lambskin, Gold-Tone, Silver-Tone & Ruthenium-Finish Metal",leather,Black,16 x 26 x 9 cm,not_disclosed,,contact_or_boutique,verified_official_reference_and_attributes,https://www.chanel.com/fr/mode/p/AS1160B0485294305/sac-chanel-19-agneau-brillant-metal-dore-argente-finition-ruthenium/,https://www.chanel.com/us/fashion/p/AS1160B0485294305/chanel-19-handbag-shiny-lambskin-gold-tone-silver-tone-ruthenium-finish-metal/,
CH-SUP-19-AS1161-B04852-94305,Chanel,Chanel 19,CHANEL 19 Large Handbag,large,shoulder,shoulder,AS1161-B04852-94305,"Shiny Lambskin, Gold-Tone, Silver-Tone & Ruthenium-Finish Metal",leather,Black,20 x 30 x 10 cm,not_disclosed,,contact_or_boutique,verified_official_reference_and_attributes,https://www.chanel.com/fr/mode/p/AS1161B0485294305/grand-sac-chanel-19-agneau-brillant-metal-dore-argente-finition-ruthenium/,https://www.chanel.com/us/fashion/p/AS1161B0485294305/chanel-19-large-handbag-shiny-lambskin-gold-tone-silver-tone-ruthenium-finish-metal/,
CH-SUP-22-AS3980-B19059-94305,Chanel,Chanel 22,CHANEL 22 Mini Handbag,mini,shoulder,hobo,AS3980-B19059-94305,Shiny Calfskin & Gold-Tone Metal,leather,Black,20 x 19 x 6 cm,not_disclosed,,contact_or_boutique,verified_official_reference_and_attributes,https://www.chanel.com/fr/mode/p/AS3980B1905994305/mini-sac-chanel-22-veau-brillant-metal-dore/,https://www.chanel.com/us/fashion/p/AS3980B1905994305/chanel-22-mini-handbag-shiny-calfskin-gold-tone-metal/,
CH-SUP-22-AS3261-B19059-94305,Chanel,Chanel 22,CHANEL 22 Handbag,standard,shoulder,hobo,AS3261-B19059-94305,Shiny Calfskin & Gold-Tone Metal,leather,Black,36 x 42 x 8 cm,not_disclosed,,contact_or_boutique,verified_official_reference_and_attributes,https://www.chanel.com/fr/mode/p/AS3261B1905994305/sac-chanel-22-veau-brillant-metal-dore/,https://www.chanel.com/us/fashion/p/AS3261B1905994305/chanel-22-handbag-shiny-calfskin-gold-tone-metal/,
CH-SUP-25-AS5631-B20304-10601,Chanel,Chanel 25,CHANEL 25 Mini Handbag,mini,shoulder,hobo,AS5631-B20304-10601,Grained Calfskin & Gold-Tone Metal,leather,White,20 x 22 x 12.5 cm,seasonal_collection,Spring Summer 2026,contact_or_boutique,verified_official_reference_and_attributes,https://www.chanel.com/fr/mode/p/AS5631B2030410601/mini-sac-chanel-25-veau-graine-metal-dore/,https://www.chanel.com/us/fashion/p/AS5631B2030410601/chanel-25-mini-handbag-grained-calfskin-gold-tone-metal/,Seasonal collection row; keep outside a regular-core headline unless sensitivity is explicit.
CH-SUP-25-AS5311-B20304-94305,Chanel,Chanel 25,CHANEL 25 Medium Handbag,medium,shoulder,hobo,AS5311-B20304-94305,Grained Calfskin & Gold-Tone Metal,leather,Black,40 x 30 x 15 cm,not_disclosed,,contact_or_boutique,verified_official_reference_and_attributes,https://www.chanel.com/fr/mode/p/AS5311B2030494305/moyen-sac-chanel-25-veau-graine-metal-dore/,https://www.chanel.com/us/fashion/p/AS5311B2030494305/chanel-25-medium-handbag-grained-calfskin-gold-tone-metal/,
CH-SUP-WOC-AP4241-Y01480-C3906,Chanel,WOC,Classic Wallet on Chain,small,small-leather-goods,small_leather_goods,AP4241-Y01480-C3906,Lambskin & Silver-Tone Metal,leather,Black & Burgundy,12.3 x 19.2 x 3.5 cm,not_disclosed,,contact_or_boutique,verified_official_reference_and_attributes,https://www.chanel.com/fr/mode/p/AP4241Y01480C3906/wallet-on-chain-classique-agneau-metal-argente/,https://www.chanel.com/us/fashion/p/AP4241Y01480C3906/classic-wallet-on-chain-lambskin-silver-tone-metal/,Sensitivity only: WOC is a small leather good and is outside the main handbag denominator.
