product_id,brand,family,model,size_label,use_tag,bag_type,canonical_reference,material_raw,material_group,color,dimensions_cm,regular_special,collection_label,availability_status,identity_status,source_url_fr,source_url_us,notes
HM-US-H085414CKAO,Hermès,Herbag,Herbag Zip 20 bag,20,crossbody,crossbody,H085414CKAO,H Viking canvas and Hunter cowhide,mixed_textile_leather,Beige/Natural,20.6 x 16.5 x 7.1 cm,not_disclosed,,unavailable_current,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/herbag-zip-20-bag-H085414CKAO/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H087076CKAB,Hermès,Lassoie,Lassoie Hermès bag,unknown,crossbody,crossbody,H087076CKAB,"""Eperon D'Or Bandana"" printed silk and Swift calfskin",mixed_textile_leather,Blue,19.1 x 21.1 x 11.9 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/lassoie-hermes-bag-H087076CKAB/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H087119CKAA,Hermès,Jypsiere,Jypsiere mini Toile & Cuir bag,mini,crossbody,crossbody,H087119CKAA,H canvas and Swift calfskin,mixed_textile_leather,Beige/Natural,22.1 x 14.7 x 5.3 cm,not_disclosed,,unavailable_current,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/jypsiere-mini-toile-and-cuir-bag-H087119CKAA/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H083969CKAU,Hermès,Bolide,Bolide on Wheels bag,unknown,top-handle,top-handle,H083969CKAU,Epsom calfskin,leather,Yellow,19.1 x 21.1 x 7.4 cm,not_disclosed,,unavailable_current,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/bolide-on-wheels-bag-H083969CKAU/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H085054CK37,Hermès,So Medor,So Medor bag,unknown,shoulder,shoulder,H085054CK37,Togo calfskin,leather,Beige/Natural,19.1 x 22.1 x 20.1 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/so-medor-bag-H085054CK37/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H069523CCBZ,Hermès,Halzan,Halzan mini bag,mini,shoulder,shoulder,H069523CCBZ,Swift calfskin,leather,Brown,21.6 x 15.2 x 6.3 cm,not_disclosed,,unavailable_current,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/halzan-mini-bag-H069523CCBZ/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H088914CK37,Hermès,Videpoches,Hermès Videpoches bag,unknown,crossbody,crossbody,H088914CK37,Togo calfskin,leather,Beige/Natural,26.9 x 14 x 4.1 cm,not_disclosed,,available_online,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/hermes-videpoches-bag-H088914CK37/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H071240C0AV,Hermès,Jige Elan,Jige Elan 29 clutch,29,evening/mini,clutch,H071240C0AV,Doblis and Swift calfskin,leather,Blue,29 x 15 x 2.5 cm,not_disclosed,,unavailable_current,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/jige-elan-29-clutch-H071240C0AV/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H087960CT89,Hermès,Mallette,Mallette bag,unknown,top-handle,top-handle,H087960CT89,Box calfskin,leather,Grey,19.1 x 9.9 x 5.6 cm,not_disclosed,,unavailable_current,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/mallette-bag-H087960CT89/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H086962CK0G,Hermès,Sanglons,Sanglons clutch,unknown,evening/mini,clutch,H086962CK0G,Chamkila goatskin,leather,Red,19.3 x 9.9 x 3.8 cm,not_disclosed,,unavailable_current,verified_official_reference_attributes,,https://www.hermes.com/us/en/product/sanglons-clutch-H086962CK0G/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
