product_id,brand,market_scope,snapshot_id,canonical_reference,family,model,use_tag,bag_type,size_label,material_group,regular_special,dimension_status,scope_status,isolation_reason,pairing_readiness,source_url_us,notes
CH-SUP-255-A37586-B23746-94305,Chanel,FR+US,supplementary_current_2026-09-07,A37586-B23746-94305,2.55,2.55 Handbag,flap,flap,unknown,leather,seasonal_collection,numeric,seasonal_excluded,explicit_seasonal_collection;size_label_unknown,blocked,https://www.chanel.com/us/fashion/p/A37586B2374694305/2-55-handbag-lambskin-gold-tone-metal/,Seasonal collection row; keep outside a regular-core headline unless sensitivity is explicit.
CH-SUP-255-A37586-Y04634-C3906,Chanel,FR+US,supplementary_current_2026-09-07,A37586-Y04634-C3906,2.55,2.55 Handbag,flap,flap,unknown,leather,not_disclosed,numeric,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,https://www.chanel.com/us/fashion/p/A37586Y04634C3906/2-55-handbag-aged-calfskin-gold-tone-metal/,
CH-SUP-BOY-A67085-Y09953-94305,Chanel,FR+US,supplementary_current_2026-09-07,A67085-Y09953-94305,Boy,Small BOY CHANEL Handbag,flap,flap,small,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.chanel.com/us/fashion/p/A67085Y0995394305/small-boy-chanel-handbag-calfskin-ruthenium-finish-metal/,
CH-SUP-BOY-A67086-Y09953-94305,Chanel,FR+US,supplementary_current_2026-09-07,A67086-Y09953-94305,Boy,BOY CHANEL Handbag,flap,flap,standard,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.chanel.com/us/fashion/p/A67086Y0995394305/boy-chanel-handbag-calfskin-ruthenium-finish-metal/,
CH-SUP-19-AS1160-B04852-94305,Chanel,FR+US,supplementary_current_2026-09-07,AS1160-B04852-94305,Chanel 19,CHANEL 19 Handbag,shoulder,shoulder,standard,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.chanel.com/us/fashion/p/AS1160B0485294305/chanel-19-handbag-shiny-lambskin-gold-tone-silver-tone-ruthenium-finish-metal/,
CH-SUP-19-AS1161-B04852-94305,Chanel,FR+US,supplementary_current_2026-09-07,AS1161-B04852-94305,Chanel 19,CHANEL 19 Large Handbag,shoulder,shoulder,large,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.chanel.com/us/fashion/p/AS1161B0485294305/chanel-19-large-handbag-shiny-lambskin-gold-tone-silver-tone-ruthenium-finish-metal/,
CH-SUP-22-AS3980-B19059-94305,Chanel,FR+US,supplementary_current_2026-09-07,AS3980-B19059-94305,Chanel 22,CHANEL 22 Mini Handbag,shoulder,hobo,mini,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.chanel.com/us/fashion/p/AS3980B1905994305/chanel-22-mini-handbag-shiny-calfskin-gold-tone-metal/,
CH-SUP-22-AS3261-B19059-94305,Chanel,FR+US,supplementary_current_2026-09-07,AS3261-B19059-94305,Chanel 22,CHANEL 22 Handbag,shoulder,hobo,standard,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.chanel.com/us/fashion/p/AS3261B1905994305/chanel-22-handbag-shiny-calfskin-gold-tone-metal/,
CH-SUP-25-AS5631-B20304-10601,Chanel,FR+US,supplementary_current_2026-09-07,AS5631-B20304-10601,Chanel 25,CHANEL 25 Mini Handbag,shoulder,hobo,mini,leather,seasonal_collection,numeric,seasonal_excluded,explicit_seasonal_collection,blocked,https://www.chanel.com/us/fashion/p/AS5631B2030410601/chanel-25-mini-handbag-grained-calfskin-gold-tone-metal/,Seasonal collection row; keep outside a regular-core headline unless sensitivity is explicit.
CH-SUP-25-AS5311-B20304-94305,Chanel,FR+US,supplementary_current_2026-09-07,AS5311-B20304-94305,Chanel 25,CHANEL 25 Medium Handbag,shoulder,hobo,medium,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.chanel.com/us/fashion/p/AS5311B2030494305/chanel-25-medium-handbag-grained-calfskin-gold-tone-metal/,
CH-SUP-WOC-AP4241-Y01480-C3906,Chanel,FR+US,supplementary_current_2026-09-07,AP4241-Y01480-C3906,WOC,Classic Wallet on Chain,small-leather-goods,small_leather_goods,small,leather,not_disclosed,numeric,sensitivity_only,woc_or_small_leather_goods;regular_special_not_disclosed,blocked,https://www.chanel.com/us/fashion/p/AP4241Y01480C3906/classic-wallet-on-chain-lambskin-silver-tone-metal/,Sensitivity only: WOC is a small leather good and is outside the main handbag denominator.
HM-US-H085414CKAO,Hermès,US,refresh_2026-09-07_us,H085414CKAO,Herbag,Herbag Zip 20 bag,crossbody,crossbody,20,mixed_textile_leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.hermes.com/us/en/product/herbag-zip-20-bag-H085414CKAO/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H087076CKAB,Hermès,US,refresh_2026-09-07_us,H087076CKAB,Lassoie,Lassoie Hermès bag,crossbody,crossbody,unknown,mixed_textile_leather,not_disclosed,numeric,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,https://www.hermes.com/us/en/product/lassoie-hermes-bag-H087076CKAB/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H087119CKAA,Hermès,US,refresh_2026-09-07_us,H087119CKAA,Jypsiere,Jypsiere mini Toile & Cuir bag,crossbody,crossbody,mini,mixed_textile_leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.hermes.com/us/en/product/jypsiere-mini-toile-and-cuir-bag-H087119CKAA/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H083969CKAU,Hermès,US,refresh_2026-09-07_us,H083969CKAU,Bolide,Bolide on Wheels bag,top-handle,top-handle,unknown,leather,not_disclosed,numeric,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,https://www.hermes.com/us/en/product/bolide-on-wheels-bag-H083969CKAU/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H085054CK37,Hermès,US,refresh_2026-09-07_us,H085054CK37,So Medor,So Medor bag,shoulder,shoulder,unknown,leather,not_disclosed,numeric,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,https://www.hermes.com/us/en/product/so-medor-bag-H085054CK37/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H069523CCBZ,Hermès,US,refresh_2026-09-07_us,H069523CCBZ,Halzan,Halzan mini bag,shoulder,shoulder,mini,leather,not_disclosed,numeric,status_pending,regular_special_not_disclosed,conditional_regular_special_review,https://www.hermes.com/us/en/product/halzan-mini-bag-H069523CCBZ/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
HM-US-H088914CK37,Hermès,US,refresh_2026-09-07_us,H088914CK37,Videpoches,Hermès Videpoches bag,crossbody,crossbody,unknown,leather,not_disclosed,numeric,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,https://www.hermes.com/us/en/product/hermes-videpoches-bag-H088914CK37/,"Official US detail DOM verified reference, material and dimensions; use/bag type is a conservative taxonomy from the model name/description; regular/seasonal marker not disclosed."
