route_id,snapshot_date,verified_on,brand,market,currency,reference_code,product_name,size_label,bag_type,material_group,price_status,price,regular_special,collection_label,route_status,comparison_role,source_url,source_basis,gate_reason
ST-20260907-CH-7UC476,2026-09-07,2026-09-08,Chanel,US,USD,AS6495B25347UC476,Small Shopping Bag,small,tote,leather,numeric,6600,seasonal_collection,Fall Winter 2026 Pre-Collection,included_seasonal_sensitivity,chanel_seasonal_small_tote,https://www.chanel.com/us/fashion/p/AS6495B25347UC476/small-shopping-bag-lambskin-gold-tone-metal/,2026-09-07 US snapshot plus 2026-09-08 official category/detail verification,Explicit seasonal collection; excluded from regular-core headline.
ST-20260907-CH-7UA954,2026-09-07,2026-09-08,Chanel,US,USD,AS6495B25347UA954,Small Shopping Bag,small,tote,leather,numeric,6600,seasonal_collection,Fall Winter 2026 Pre-Collection,included_seasonal_sensitivity,chanel_seasonal_small_tote,https://www.chanel.com/us/fashion/p/AS6495B25347UA954/small-shopping-bag-lambskin-gold-tone-metal/,2026-09-07 US snapshot plus 2026-09-08 official category/detail verification,Explicit seasonal collection; excluded from regular-core headline.
ST-20260907-DI-M1410OHST_M911,2026-09-07,2026-09-08,Dior,US,USD,M1410OHST_M911,Small Dior Promenade Shopping Bag,small,tote,leather,numeric,4000,not_disclosed,,context_only_status_undisclosed,dior_same_date_context,https://www.dior.com/en_us/fashion/products/M1410OHST_M911,2026-09-07 same-date panel; no status override,Comparator regular/seasonal status not disclosed; context only.
ST-20260907-DI-M1410OHSU_M12E,2026-09-07,2026-09-08,Dior,US,USD,M1410OHSU_M12E,Small Dior Promenade Shopping Bag,small,tote,leather,numeric,4000,not_disclosed,,context_only_status_undisclosed,dior_same_date_context,https://www.dior.com/en_us/fashion/products/M1410OHSU_M12E,2026-09-07 same-date panel; no status override,Comparator regular/seasonal status not disclosed; context only.
ST-20260907-DI-M1410PHSU_M57G,2026-09-07,2026-09-08,Dior,US,USD,M1410PHSU_M57G,Small Dior Promenade Shopping Bag,small,tote,leather,numeric,4000,not_disclosed,,context_only_status_undisclosed,dior_same_date_context,https://www.dior.com/en_us/fashion/products/M1410PHSU_M57G,2026-09-07 same-date panel; no status override,Comparator regular/seasonal status not disclosed; context only.
ST-20260907-DI-M2835OSNW_M05S,2026-09-07,2026-09-08,Dior,US,USD,M2835OSNW_M05S,Small Dior Toujours Vertical Tote Bag,small,tote,leather,numeric,3600,not_disclosed,,context_only_status_undisclosed,dior_same_date_context,https://www.dior.com/en_us/fashion/products/M2835OSNW_M05S,2026-09-07 same-date panel; no status override,Comparator regular/seasonal status not disclosed; context only.
ST-20260907-DI-M2835OSNW_M79U,2026-09-07,2026-09-08,Dior,US,USD,M2835OSNW_M79U,Small Dior Toujours Vertical Tote Bag,small,tote,leather,numeric,3600,not_disclosed,,context_only_status_undisclosed,dior_same_date_context,https://www.dior.com/en_us/fashion/products/M2835OSNW_M79U,2026-09-07 same-date panel; no status override,Comparator regular/seasonal status not disclosed; context only.
ST-20260908-CH-AS6392-B24970-UA979,2026-09-08,2026-09-08,Chanel,US,USD,AS6392-B24970-UA979,Small Shopping Bag,small,tote,leather,numeric,6700,seasonal_collection,Metiers d'art 2026,included_seasonal_sensitivity,chanel_seasonal_small_tote,https://www.chanel.com/us/fashion/p/AS6392B24970UA979/small-shopping-bag-lambskin-gold-tone-metal/,2026-09-08 official US detail page,Explicit seasonal collection; excluded from regular-core headline.
ST-20260908-CH-AS6224-B24988-UA104,2026-09-08,2026-09-08,Chanel,US,USD,AS6224-B24988-UA104,Small Shopping Bag,small,tote,leather,numeric,7400,seasonal_collection,Metiers d'art 2026,included_seasonal_sensitivity,chanel_seasonal_small_tote,https://www.chanel.com/us/fashion/p/AS6224B24988UA104/small-shopping-bag-grained-calfskin-lambskin-gold-tone-metal/,2026-09-08 official US detail page,Explicit seasonal collection; excluded from regular-core headline.
ST-20260908-CH-AS6248-B24030-94305,2026-09-08,2026-09-08,Chanel,US,USD,AS6248-B24030-94305,Mini Shopping Bag,mini,tote,leather,numeric,5400,seasonal_collection,Spring Summer 2026,excluded_size_mismatch,chanel_seasonal_mini_context,https://www.chanel.com/us/fashion/p/AS6248B2403094305/mini-shopping-bag-lambskin-gold-tone-metal/,2026-09-08 official US detail page,Seasonal mini; outside the small-tote sensitivity route.
