mapping_id,product_id,brand,canonical_reference,fr_reference,us_reference,reference_match,model_match,size_match,material_match,color_match,dimension_match,market_pair_status,mapping_confidence,source_id_fr,source_id_us,notes
MAP-CH-SUP-255-A37586-B23746-94305,CH-SUP-255-A37586-B23746-94305,Chanel,A37586-B23746-94305,A37586-B23746-94305,A37586-B23746-94305,exact,same_product_family_and_model,same_reference_and_dimensions,same_material_family,same_color,same_dimensions_after_unit_conversion,exact_cross_market_pair,HIGH,SRC-SUPP-CH-FR-A37586B2374694305,SRC-SUPP-CH-US-A37586B2374694305,Seasonal collection row; keep outside a regular-core headline unless sensitivity is explicit.
MAP-CH-SUP-255-A37586-Y04634-C3906,CH-SUP-255-A37586-Y04634-C3906,Chanel,A37586-Y04634-C3906,A37586-Y04634-C3906,A37586-Y04634-C3906,exact,same_product_family_and_model,same_reference_and_dimensions,same_material_family,same_color,same_dimensions_after_unit_conversion,exact_cross_market_pair,HIGH,SRC-SUPP-CH-FR-A37586Y04634C3906,SRC-SUPP-CH-US-A37586Y04634C3906,
MAP-CH-SUP-BOY-A67085-Y09953-94305,CH-SUP-BOY-A67085-Y09953-94305,Chanel,A67085-Y09953-94305,A67085-Y09953-94305,A67085-Y09953-94305,exact,same_product_family_and_model,same_reference_and_dimensions,same_material_family,same_color,same_dimensions_after_unit_conversion,exact_cross_market_pair,HIGH,SRC-SUPP-CH-FR-A67085Y0995394305,SRC-SUPP-CH-US-A67085Y0995394305,
MAP-CH-SUP-BOY-A67086-Y09953-94305,CH-SUP-BOY-A67086-Y09953-94305,Chanel,A67086-Y09953-94305,A67086-Y09953-94305,A67086-Y09953-94305,exact,same_product_family_and_model,same_reference_and_dimensions,same_material_family,same_color,same_dimensions_after_unit_conversion,exact_cross_market_pair,HIGH,SRC-SUPP-CH-FR-A67086Y0995394305,SRC-SUPP-CH-US-A67086Y0995394305,
MAP-CH-SUP-19-AS1160-B04852-94305,CH-SUP-19-AS1160-B04852-94305,Chanel,AS1160-B04852-94305,AS1160-B04852-94305,AS1160-B04852-94305,exact,same_product_family_and_model,same_reference_and_dimensions,same_material_family,same_color,same_dimensions_after_unit_conversion,exact_cross_market_pair,HIGH,SRC-SUPP-CH-FR-AS1160B0485294305,SRC-SUPP-CH-US-AS1160B0485294305,
MAP-CH-SUP-19-AS1161-B04852-94305,CH-SUP-19-AS1161-B04852-94305,Chanel,AS1161-B04852-94305,AS1161-B04852-94305,AS1161-B04852-94305,exact,same_product_family_and_model,same_reference_and_dimensions,same_material_family,same_color,same_dimensions_after_unit_conversion,exact_cross_market_pair,HIGH,SRC-SUPP-CH-FR-AS1161B0485294305,SRC-SUPP-CH-US-AS1161B0485294305,
MAP-CH-SUP-22-AS3980-B19059-94305,CH-SUP-22-AS3980-B19059-94305,Chanel,AS3980-B19059-94305,AS3980-B19059-94305,AS3980-B19059-94305,exact,same_product_family_and_model,same_reference_and_dimensions,same_material_family,same_color,same_dimensions_after_unit_conversion,exact_cross_market_pair,HIGH,SRC-SUPP-CH-FR-AS3980B1905994305,SRC-SUPP-CH-US-AS3980B1905994305,
MAP-CH-SUP-22-AS3261-B19059-94305,CH-SUP-22-AS3261-B19059-94305,Chanel,AS3261-B19059-94305,AS3261-B19059-94305,AS3261-B19059-94305,exact,same_product_family_and_model,same_reference_and_dimensions,same_material_family,same_color,same_dimensions_after_unit_conversion,exact_cross_market_pair,HIGH,SRC-SUPP-CH-FR-AS3261B1905994305,SRC-SUPP-CH-US-AS3261B1905994305,
MAP-CH-SUP-25-AS5631-B20304-10601,CH-SUP-25-AS5631-B20304-10601,Chanel,AS5631-B20304-10601,AS5631-B20304-10601,AS5631-B20304-10601,exact,same_product_family_and_model,same_reference_and_dimensions,same_material_family,same_color,same_dimensions_after_unit_conversion,exact_cross_market_pair,HIGH,SRC-SUPP-CH-FR-AS5631B2030410601,SRC-SUPP-CH-US-AS5631B2030410601,Seasonal collection row; keep outside a regular-core headline unless sensitivity is explicit.
MAP-CH-SUP-25-AS5311-B20304-94305,CH-SUP-25-AS5311-B20304-94305,Chanel,AS5311-B20304-94305,AS5311-B20304-94305,AS5311-B20304-94305,exact,same_product_family_and_model,same_reference_and_dimensions,same_material_family,same_color,same_dimensions_after_unit_conversion,exact_cross_market_pair,HIGH,SRC-SUPP-CH-FR-AS5311B2030494305,SRC-SUPP-CH-US-AS5311B2030494305,
MAP-CH-SUP-WOC-AP4241-Y01480-C3906,CH-SUP-WOC-AP4241-Y01480-C3906,Chanel,AP4241-Y01480-C3906,AP4241-Y01480-C3906,AP4241-Y01480-C3906,exact,same_product_family_and_model,same_reference_and_dimensions,same_material_family,same_color,same_dimensions_after_unit_conversion,exact_cross_market_pair,HIGH,SRC-SUPP-CH-FR-AP4241Y01480C3906,SRC-SUPP-CH-US-AP4241Y01480C3906,Sensitivity only: WOC is a small leather good and is outside the main handbag denominator.
