observation_id,snapshot_id,brand,market,currency,observed_at,source_effective_date,source_id,reference_code,family,model,size_label,material_group,color,price_status,price,comparison_group_id,lineage_id,inclusion_status,exclusion_reason
supp:CHANEL-FR-A37586B2374694305-20260907,supplementary_current_2026-09-07,Chanel,FR,EUR,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-FR-A37586B2374694305,A37586-B23746-94305,2.55,2.55 Handbag,unknown,leather,Black,numeric,12500,FR|flap|unknown|leather,,accepted_supplementary_seasonal,seasonal collection; exclude from regular-core headline unless sensitivity is explicit
supp:CHANEL-US-A37586B2374694305-20260907,supplementary_current_2026-09-07,Chanel,US,USD,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-US-A37586B2374694305,A37586-B23746-94305,2.55,2.55 Handbag,unknown,leather,Black,numeric,13800,US|flap|unknown|leather,,accepted_supplementary_seasonal,seasonal collection; exclude from regular-core headline unless sensitivity is explicit
supp:CHANEL-FR-A37586Y04634C3906-20260907,supplementary_current_2026-09-07,Chanel,FR,EUR,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-FR-A37586Y04634C3906,A37586-Y04634-C3906,2.55,2.55 Handbag,unknown,leather,Black & Burgundy,numeric,10500,FR|flap|unknown|leather,,accepted_supplementary,
supp:CHANEL-US-A37586Y04634C3906-20260907,supplementary_current_2026-09-07,Chanel,US,USD,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-US-A37586Y04634C3906,A37586-Y04634-C3906,2.55,2.55 Handbag,unknown,leather,Black & Burgundy,numeric,11700,US|flap|unknown|leather,,accepted_supplementary,
supp:CHANEL-FR-A67085Y0995394305-20260907,supplementary_current_2026-09-07,Chanel,FR,EUR,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-FR-A67085Y0995394305,A67085-Y09953-94305,Boy,Small BOY CHANEL Handbag,small,leather,Black,numeric,6200,FR|flap|small|leather,,accepted_supplementary,
supp:CHANEL-US-A67085Y0995394305-20260907,supplementary_current_2026-09-07,Chanel,US,USD,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-US-A67085Y0995394305,A67085-Y09953-94305,Boy,Small BOY CHANEL Handbag,small,leather,Black,numeric,6900,US|flap|small|leather,,accepted_supplementary,
supp:CHANEL-FR-A67086Y0995394305-20260907,supplementary_current_2026-09-07,Chanel,FR,EUR,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-FR-A67086Y0995394305,A67086-Y09953-94305,Boy,BOY CHANEL Handbag,standard,leather,Black,numeric,6900,FR|flap|standard|leather,,accepted_supplementary,
supp:CHANEL-US-A67086Y0995394305-20260907,supplementary_current_2026-09-07,Chanel,US,USD,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-US-A67086Y0995394305,A67086-Y09953-94305,Boy,BOY CHANEL Handbag,standard,leather,Black,numeric,7400,US|flap|standard|leather,,accepted_supplementary,
supp:CHANEL-FR-AS1160B0485294305-20260907,supplementary_current_2026-09-07,Chanel,FR,EUR,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-FR-AS1160B0485294305,AS1160-B04852-94305,Chanel 19,CHANEL 19 Handbag,standard,leather,Black,numeric,6650,FR|shoulder|standard|leather,,accepted_supplementary,
supp:CHANEL-US-AS1160B0485294305-20260907,supplementary_current_2026-09-07,Chanel,US,USD,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-US-AS1160B0485294305,AS1160-B04852-94305,Chanel 19,CHANEL 19 Handbag,standard,leather,Black,numeric,7200,US|shoulder|standard|leather,,accepted_supplementary,
supp:CHANEL-FR-AS1161B0485294305-20260907,supplementary_current_2026-09-07,Chanel,FR,EUR,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-FR-AS1161B0485294305,AS1161-B04852-94305,Chanel 19,CHANEL 19 Large Handbag,large,leather,Black,numeric,7250,FR|shoulder|large|leather,,accepted_supplementary,
supp:CHANEL-US-AS1161B0485294305-20260907,supplementary_current_2026-09-07,Chanel,US,USD,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-US-AS1161B0485294305,AS1161-B04852-94305,Chanel 19,CHANEL 19 Large Handbag,large,leather,Black,numeric,7900,US|shoulder|large|leather,,accepted_supplementary,
