market,currency,scenario,band,brand,numeric_observations,share_of_brand_numeric,boundary_definition,denominator_note
FR,EUR,baseline,Access / lower,Chanel,0,0%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Core,Chanel,2,11.8%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Premium core,Chanel,8,47.1%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,High,Chanel,0,0%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Exceptional / icon,Chanel,7,41.2%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Access / lower,Hermès,1,5%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Core,Hermès,6,30%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Premium core,Hermès,9,45%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,High,Hermès,4,20%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Exceptional / icon,Hermès,0,0%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Access / lower,Louis Vuitton,12,60%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Core,Louis Vuitton,8,40%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Premium core,Louis Vuitton,0,0%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,High,Louis Vuitton,0,0%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Exceptional / icon,Louis Vuitton,0,0%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Access / lower,Dior,0,0%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Core,Dior,19,100%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Premium core,Dior,0,0%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,High,Dior,0,0%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,baseline,Exceptional / icon,Dior,0,0%,3000;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
FR,EUR,boundary_1_minus10pct,Access / lower,Chanel,0,0%,2700;5000;7000;10000,Denominator is brand × market numeric observations; bands are post-hoc descriptive bins.
