market,currency,comparison_group_id,bag_type,size_label,material_group,supplement_snapshot_id,supplementary_chanel_observations,supplementary_numeric_observations,supplementary_reference_codes,supplementary_families,supplementary_inclusion_statuses,peer_snapshot_id,baseline_peer_count,baseline_peer_brands,baseline_peer_families,attribute_filter,headline_eligible,pairing_status,price_comparison_status,gate_reason,limitation
FR,EUR,FR|flap|small|leather,flap,small,leather,supplementary_current_2026-09-07,1,1,A67085-Y09953-94305,Boy,accepted_supplementary,current_2026-08-15,2,Dior,Dior Médaillon;Saddle,same market + bag type + size + material group,FALSE,blocked_cross_snapshot,not_computed,cross_snapshot_only,"Attributes match a directional peer cell, but price comparison is blocked across snapshots."
FR,EUR,FR|flap|standard|leather,flap,standard,leather,supplementary_current_2026-09-07,1,1,A67086-Y09953-94305,Boy,accepted_supplementary,current_2026-08-15,1,Hermès,Néo Médor,same market + bag type + size + material group,FALSE,blocked_cross_snapshot,not_computed,cross_snapshot_only,"Attributes match a directional peer cell, but price comparison is blocked across snapshots."
FR,EUR,FR|flap|unknown|leather,flap,unknown,leather,supplementary_current_2026-09-07,2,2,A37586-B23746-94305;A37586-Y04634-C3906,2.55,accepted_supplementary;accepted_supplementary_seasonal,current_2026-08-15,0,,,same market + bag type + size + material group,FALSE,blocked_unknown_size,not_computed,unknown_size,Size is unknown; the attribute filter cannot assert a like-for-like cell.
FR,EUR,FR|hobo|medium|leather,hobo,medium,leather,supplementary_current_2026-09-07,1,1,AS5311-B20304-94305,Chanel 25,accepted_supplementary,current_2026-08-15,0,,,same market + bag type + size + material group,FALSE,blocked_no_peer,not_computed,no_same_group_peer,No numeric baseline competitor row shares all four attributes.
FR,EUR,FR|hobo|mini|leather,hobo,mini,leather,supplementary_current_2026-09-07,2,2,AS3980-B19059-94305;AS5631-B20304-10601,Chanel 22;Chanel 25,accepted_supplementary;accepted_supplementary_seasonal,current_2026-08-15,0,,,same market + bag type + size + material group,FALSE,excluded_supplementary,not_computed,seasonal_excluded,Seasonal collection rows remain outside the regular-core headline.
FR,EUR,FR|hobo|standard|leather,hobo,standard,leather,supplementary_current_2026-09-07,1,1,AS3261-B19059-94305,Chanel 22,accepted_supplementary,current_2026-08-15,0,,,same market + bag type + size + material group,FALSE,blocked_no_peer,not_computed,no_same_group_peer,No numeric baseline competitor row shares all four attributes.
FR,EUR,FR|shoulder|large|leather,shoulder,large,leather,supplementary_current_2026-09-07,1,1,AS1161-B04852-94305,Chanel 19,accepted_supplementary,current_2026-08-15,1,Dior,Diorly,same market + bag type + size + material group,FALSE,blocked_cross_snapshot,not_computed,cross_snapshot_only,"Attributes match a directional peer cell, but price comparison is blocked across snapshots."
FR,EUR,FR|shoulder|standard|leather,shoulder,standard,leather,supplementary_current_2026-09-07,1,1,AS1160-B04852-94305,Chanel 19,accepted_supplementary,current_2026-08-15,8,Hermès;Louis Vuitton,Bundle Trunk;Geta;Multipass;Médor Clous;Poche Cliquetis,same market + bag type + size + material group,FALSE,blocked_cross_snapshot,not_computed,cross_snapshot_only,"Attributes match a directional peer cell, but price comparison is blocked across snapshots."
FR,EUR,FR|small_leather_goods|small|leather,small_leather_goods,small,leather,supplementary_current_2026-09-07,1,1,AP4241-Y01480-C3906,WOC,sensitivity_only,current_2026-08-15,0,,,same market + bag type + size + material group,FALSE,excluded_supplementary,not_computed,woc_sensitivity_only,WOC is outside the main handbag denominator.
US,USD,US|flap|small|leather,flap,small,leather,supplementary_current_2026-09-07,1,1,A67085-Y09953-94305,Boy,accepted_supplementary,current_2026-08-15,1,Dior,Saddle,same market + bag type + size + material group,FALSE,blocked_cross_snapshot,not_computed,cross_snapshot_only,"Attributes match a directional peer cell, but price comparison is blocked across snapshots."
US,USD,US|flap|standard|leather,flap,standard,leather,supplementary_current_2026-09-07,1,1,A67086-Y09953-94305,Boy,accepted_supplementary,current_2026-08-15,0,,,same market + bag type + size + material group,FALSE,blocked_no_peer,not_computed,no_same_group_peer,No numeric baseline competitor row shares all four attributes.
US,USD,US|flap|unknown|leather,flap,unknown,leather,supplementary_current_2026-09-07,2,2,A37586-B23746-94305;A37586-Y04634-C3906,2.55,accepted_supplementary;accepted_supplementary_seasonal,current_2026-08-15,0,,,same market + bag type + size + material group,FALSE,blocked_unknown_size,not_computed,unknown_size,Size is unknown; the attribute filter cannot assert a like-for-like cell.
