pair_id,cell_id,market,source_effective_date,comparison_group_id,bag_type,size_label,material_group,pairing_status,headline_eligible,price_comparison_status,chanel_reference_code,chanel_price,peer_brand,peer_reference_code,peer_price,price_gap_peer_minus_chanel,limitation
PAIR-AS6617B2621894305-Dior-M2867ODKZ_M01S,CELL-US-hobo-small-leather,US,2026-09-07,US|hobo|small|leather,hobo,small,leather,blocked_sample_insufficient,FALSE,not_computed,AS6617B2621894305,5200,Dior,M2867ODKZ_M01S,3700,,Each brand needs at least 2 numeric rows in the cell.
PAIR-AS6617B2621894305-Dior-M2867ODKZ_M31N,CELL-US-hobo-small-leather,US,2026-09-07,US|hobo|small|leather,hobo,small,leather,blocked_sample_insufficient,FALSE,not_computed,AS6617B2621894305,5200,Dior,M2867ODKZ_M31N,3700,,Each brand needs at least 2 numeric rows in the cell.
PAIR-AS6617B2621894305-Dior-M2867ODKZ_M39Z,CELL-US-hobo-small-leather,US,2026-09-07,US|hobo|small|leather,hobo,small,leather,blocked_sample_insufficient,FALSE,not_computed,AS6617B2621894305,5200,Dior,M2867ODKZ_M39Z,3700,,Each brand needs at least 2 numeric rows in the cell.
PAIR-AS6617B2621894305-Dior-M2867ODKZ_M42R,CELL-US-hobo-small-leather,US,2026-09-07,US|hobo|small|leather,hobo,small,leather,blocked_sample_insufficient,FALSE,not_computed,AS6617B2621894305,5200,Dior,M2867ODKZ_M42R,3700,,Each brand needs at least 2 numeric rows in the cell.
PAIR-AS6617B2621894305-Dior-M2867ODKZ_M900,CELL-US-hobo-small-leather,US,2026-09-07,US|hobo|small|leather,hobo,small,leather,blocked_sample_insufficient,FALSE,not_computed,AS6617B2621894305,5200,Dior,M2867ODKZ_M900,3700,,Each brand needs at least 2 numeric rows in the cell.
PAIR-AS6617B2621894305-Dior-M2867ODUN_M68M,CELL-US-hobo-small-leather,US,2026-09-07,US|hobo|small|leather,hobo,small,leather,blocked_sample_insufficient,FALSE,not_computed,AS6617B2621894305,5200,Dior,M2867ODUN_M68M,3700,,Each brand needs at least 2 numeric rows in the cell.
PAIR-AS6580B24074U9390-Dior-M2820OHJS_M42R,CELL-US-tote-large-leather,US,2026-09-07,US|tote|large|leather,tote,large,leather,blocked_sample_insufficient,FALSE,not_computed,AS6580B24074U9390,6500,Dior,M2820OHJS_M42R,4700,,Each brand needs at least 2 numeric rows in the cell.
PAIR-AS6495B25347UA954-Dior-M1410OHST_M911,CELL-US-tote-small-leather,US,2026-09-07,US|tote|small|leather,tote,small,leather,same_date_exact_attributes,TRUE,computed,AS6495B25347UA954,6600,Dior,M1410OHST_M911,4000,-2600,Exact same-date attribute cell; regular/seasonal marker remains undisclosed.
PAIR-AS6495B25347UA954-Dior-M1410OHSU_M12E,CELL-US-tote-small-leather,US,2026-09-07,US|tote|small|leather,tote,small,leather,same_date_exact_attributes,TRUE,computed,AS6495B25347UA954,6600,Dior,M1410OHSU_M12E,4000,-2600,Exact same-date attribute cell; regular/seasonal marker remains undisclosed.
PAIR-AS6495B25347UA954-Dior-M1410PHSU_M57G,CELL-US-tote-small-leather,US,2026-09-07,US|tote|small|leather,tote,small,leather,same_date_exact_attributes,TRUE,computed,AS6495B25347UA954,6600,Dior,M1410PHSU_M57G,4000,-2600,Exact same-date attribute cell; regular/seasonal marker remains undisclosed.
PAIR-AS6495B25347UA954-Dior-M2835OSNW_M05S,CELL-US-tote-small-leather,US,2026-09-07,US|tote|small|leather,tote,small,leather,same_date_exact_attributes,TRUE,computed,AS6495B25347UA954,6600,Dior,M2835OSNW_M05S,3600,-3000,Exact same-date attribute cell; regular/seasonal marker remains undisclosed.
PAIR-AS6495B25347UA954-Dior-M2835OSNW_M79U,CELL-US-tote-small-leather,US,2026-09-07,US|tote|small|leather,tote,small,leather,same_date_exact_attributes,TRUE,computed,AS6495B25347UA954,6600,Dior,M2835OSNW_M79U,3600,-3000,Exact same-date attribute cell; regular/seasonal marker remains undisclosed.
PAIR-AS6495B25347UC476-Dior-M1410OHST_M911,CELL-US-tote-small-leather,US,2026-09-07,US|tote|small|leather,tote,small,leather,same_date_exact_attributes,TRUE,computed,AS6495B25347UC476,6600,Dior,M1410OHST_M911,4000,-2600,Exact same-date attribute cell; regular/seasonal marker remains undisclosed.
PAIR-AS6495B25347UC476-Dior-M1410OHSU_M12E,CELL-US-tote-small-leather,US,2026-09-07,US|tote|small|leather,tote,small,leather,same_date_exact_attributes,TRUE,computed,AS6495B25347UC476,6600,Dior,M1410OHSU_M12E,4000,-2600,Exact same-date attribute cell; regular/seasonal marker remains undisclosed.
PAIR-AS6495B25347UC476-Dior-M1410PHSU_M57G,CELL-US-tote-small-leather,US,2026-09-07,US|tote|small|leather,tote,small,leather,same_date_exact_attributes,TRUE,computed,AS6495B25347UC476,6600,Dior,M1410PHSU_M57G,4000,-2600,Exact same-date attribute cell; regular/seasonal marker remains undisclosed.
PAIR-AS6495B25347UC476-Dior-M2835OSNW_M05S,CELL-US-tote-small-leather,US,2026-09-07,US|tote|small|leather,tote,small,leather,same_date_exact_attributes,TRUE,computed,AS6495B25347UC476,6600,Dior,M2835OSNW_M05S,3600,-3000,Exact same-date attribute cell; regular/seasonal marker remains undisclosed.
PAIR-AS6495B25347UC476-Dior-M2835OSNW_M79U,CELL-US-tote-small-leather,US,2026-09-07,US|tote|small|leather,tote,small,leather,same_date_exact_attributes,TRUE,computed,AS6495B25347UC476,6600,Dior,M2835OSNW_M79U,3600,-3000,Exact same-date attribute cell; regular/seasonal marker remains undisclosed.
