snapshot_id,source_effective_date,brand,market,currency,reference_code,product_name,price_status,price,family,model,size_label,use_tag,bag_type,material_raw,material_group,dimensions_cm,regular_special,collection_label,scope_status,isolation_reason,pairing_readiness,dimension_status,comparison_group_id,source_url
refresh_2026-09-07_us:Chanel:AS6568B25713UD698,2026-09-07,Chanel,US,USD,AS6568B25713UD698,Flap Bag,numeric,7100,Flap,Flap Bag,unknown,flap,flap,Suede Calfskin Patchwork & Gold-Tone Metal,leather,,not_disclosed,,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,unknown,US|flap|unknown|leather,https://www.chanel.com/us/fashion/p/AS6568B25713UD698/flap-bag-suede-calfskin-patchwork-gold-tone-metal/
refresh_2026-09-07_us:Chanel:AS6627B25748U7942,2026-09-07,Chanel,US,USD,AS6627B25748U7942,Maxi Flap Bag,numeric,8700,Flap,Maxi Flap Bag,maxi,flap,flap,Suede Calfskin & Gold-Tone Metal,leather,,not_disclosed,,status_pending,regular_special_not_disclosed,conditional_regular_special_review,unknown,US|flap|maxi|leather,https://www.chanel.com/us/fashion/p/AS6627B25748U7942/maxi-flap-bag-suede-calfskin-gold-tone-metal/
refresh_2026-09-07_us:Chanel:AS6495B25347UC476,2026-09-07,Chanel,US,USD,AS6495B25347UC476,Small Shopping Bag,numeric,6600,Shopping,Small Shopping Bag,small,tote,tote,Lambskin & Gold-Tone Metal,leather,,seasonal_collection,Fall Winter 2026 Pre-Collection,seasonal_excluded,explicit_seasonal_collection,blocked,unknown,US|tote|small|leather,https://www.chanel.com/us/fashion/p/AS6495B25347UC476/small-shopping-bag-lambskin-gold-tone-metal/
refresh_2026-09-07_us:Chanel:AS6498B25468UC476,2026-09-07,Chanel,US,USD,AS6498B25468UC476,Small Flap Bag,numeric,5900,Flap,Small Flap Bag,small,flap,flap,Patinated Lambskin & Gold-Tone Metal,leather,,not_disclosed,,status_pending,regular_special_not_disclosed,conditional_regular_special_review,unknown,US|flap|small|leather,https://www.chanel.com/us/fashion/p/AS6498B25468UC476/small-flap-bag-patinated-lambskin-gold-tone-metal/
refresh_2026-09-07_us:Chanel:AS6497B25468UC476,2026-09-07,Chanel,US,USD,AS6497B25468UC476,Flap Bag,numeric,6700,Flap,Flap Bag,unknown,flap,flap,Patinated Lambskin & Gold-Tone Metal,leather,,not_disclosed,,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,unknown,US|flap|unknown|leather,https://www.chanel.com/us/fashion/p/AS6497B25468UC476/flap-bag-patinated-lambskin-gold-tone-metal/
refresh_2026-09-07_us:Chanel:AS6495B25347UA954,2026-09-07,Chanel,US,USD,AS6495B25347UA954,Small Shopping Bag,numeric,6600,Shopping,Small Shopping Bag,small,tote,tote,Lambskin & Gold-Tone Metal,leather,,seasonal_collection,Fall Winter 2026 Pre-Collection,seasonal_excluded,explicit_seasonal_collection,blocked,unknown,US|tote|small|leather,https://www.chanel.com/us/fashion/p/AS6495B25347UA954/small-shopping-bag-lambskin-gold-tone-metal/
refresh_2026-09-07_us:Chanel:AS5631B24704UA954,2026-09-07,Chanel,US,USD,AS5631B24704UA954,Chanel 25 Mini Handbag,numeric,6300,Chanel 25,Chanel 25 Mini Handbag,mini,unknown,unknown,Grained Calfskin & Gold-Tone Metal,leather,,not_disclosed,,status_pending,regular_special_not_disclosed,conditional_regular_special_review,unknown,US|unknown|mini|leather,https://www.chanel.com/us/fashion/p/AS5631B24704UA954/chanel-25-mini-handbag-grained-calfskin-gold-tone-metal/
refresh_2026-09-07_us:Chanel:AS5293B24704UC018,2026-09-07,Chanel,US,USD,AS5293B24704UC018,Chanel 25 Small Handbag,numeric,6700,Chanel 25,Chanel 25 Small Handbag,small,unknown,unknown,Grained Calfskin & Gold-Tone Metal,leather,,not_disclosed,,status_pending,regular_special_not_disclosed,conditional_regular_special_review,unknown,US|unknown|small|leather,https://www.chanel.com/us/fashion/p/AS5293B24704UC018/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/
refresh_2026-09-07_us:Chanel:AS6627B24009U3951,2026-09-07,Chanel,US,USD,AS6627B24009U3951,Maxi Flap Bag,numeric,8500,Flap,Maxi Flap Bag,maxi,flap,flap,Suede Calfskin & Gold-Tone Metal,leather,,not_disclosed,,status_pending,regular_special_not_disclosed,conditional_regular_special_review,unknown,US|flap|maxi|leather,https://www.chanel.com/us/fashion/p/AS6627B24009U3951/maxi-flap-bag-suede-calfskin-gold-tone-metal/
refresh_2026-09-07_us:Chanel:AS6465B25591UA848,2026-09-07,Chanel,US,USD,AS6465B25591UA848,Backpack,numeric,7400,Backpack,Backpack,unknown,backpack,backpack,Suede Calfskin & Gold-Tone Metal,leather,,not_disclosed,,unknown_size,size_label_unknown;regular_special_not_disclosed,blocked,unknown,US|backpack|unknown|leather,https://www.chanel.com/us/fashion/p/AS6465B25591UA848/backpack-suede-calfskin-gold-tone-metal/
