issue_id,brand,market,issue_type,reference_code,source_url,status,critical_for_core,notes
current_competitor:1,Dior,FR/US,ACCESS_BLOCKED,,https://www.dior.com/fr_fr/fashion/mode-femme/sacs/tous-les-sacs,unresolved,FALSE,Local Playwright received the official Dior page-unavailable/WAF response; official browser-rendered pages were used for accepted observations.
current_competitor:M2867ODKZ_M900,Dior,US,PRICE_UNRESOLVED,M2867ODKZ_M900,https://www.dior.com/en_us/fashion/products/M2867ODKZ_M900,unresolved,TRUE,Official product page was reachable but the current displayed price was not exposed in the rendered response.
current_competitor:M2867PDUN_M18S,Dior,US,PRICE_UNRESOLVED,M2867PDUN_M18S,https://www.dior.com/en_us/fashion/products/M2867PDUN_M18S,unresolved,TRUE,Official product page was reachable but the current displayed price was not exposed in the rendered response.
current_competitor:M1324OWHP_M51U,Dior,US,PRICE_UNRESOLVED,M1324OWHP_M51U,https://www.dior.com/en_us/fashion/products/M1324OWHP_M51U,unresolved,TRUE,Official product page response did not expose a product-page numeric price.
current_competitor:M1354OEUB_M918,Dior,US,PRICE_UNRESOLVED,M1354OEUB_M918,https://www.dior.com/en_us/fashion/products/M1354OEUB_M918,unresolved,TRUE,Official product page response did not expose a product-page numeric price.
current_competitor:M3920QDWP_M98H,Dior,US,PRICE_UNRESOLVED,M3920QDWP_M98H,https://www.dior.com/en_us/fashion/products/M3920QDWP_M98H,unresolved,TRUE,Official product page response did not expose a product-page numeric price.
current_competitor:M3919QDWP_M900,Dior,US,PRICE_UNRESOLVED,M3919QDWP_M900,https://www.dior.com/en_us/fashion/products/M3919QDWP_M900,unresolved,TRUE,Official product page response did not expose a product-page numeric price.
current_competitor:M1412PHJX_M79G,Dior,US,PRICE_UNRESOLVED,M1412PHJX_M79G,https://www.dior.com/en_us/fashion/products/M1412PHJX_M79G,unresolved,TRUE,Official product page response did not expose a product-page numeric price.
current_competitor:H084238CKI2,Hermès,US,PAGE_NOT_FOUND,H084238CKI2,https://www.hermes.com/us/en/product/picotin-lock-micro-bag-H084238CKI2/,unresolved,FALSE,Official category link returned 404; excluded from accepted observations.
current_competitor:H048263CK7U,Hermès,US,PAGE_NOT_FOUND,H048263CK7U,https://www.hermes.com/us/en/product/plume-mini-bag-H048263CK7U/,unresolved,FALSE,Official category link returned 404; excluded from accepted observations.
current_competitor:H085003CK55,Hermès,US,PAGE_NOT_FOUND,H085003CK55,https://www.hermes.com/us/en/product/mini-medor-bag-H085003CK55/,unresolved,FALSE,Official category link returned 404; excluded from accepted observations.
current_competitor:H087987CK89,Hermès,FR,PAGE_NOT_FOUND,H087987CK89,https://www.hermes.com/fr/fr/product/sac-hermes-videpoches-H087987CK89/,unresolved,FALSE,Direct official localized URL returned 404; excluded from accepted observations.
history:13,Chanel,France; United States,historical_identity_or_price_unresolved,,,unresolved,FALSE,No accepted historical source identified that maps the selected current reference to dated retail prices.
history:14,Chanel,France; United States,historical_identity_or_price_unresolved,,,unresolved,FALSE,Current family was reviewed as a lower/core candidate; no traceable historical price table accepted.
history:15,Hermès,United States,historical_identity_or_price_unresolved,,,unresolved,FALSE,"Available historical sources identify Herbag Zip 31, not the current Messenger 39; size mismatch prevents primary continuity."
history:16,Hermès,France; United States,historical_identity_or_price_unresolved,,,unresolved,FALSE,"Current official reference found, but no accepted dated historical retail-price observation for the same model/material."
history:17,Hermès,France; United States,historical_identity_or_price_unresolved,,,unresolved,FALSE,"Current family found, but no accepted dated historical retail-price observation."
history:18,Louis Vuitton,France,historical_identity_or_price_unresolved,,,unresolved,FALSE,Current product was considered as upper-core candidate; no accepted historical table mapped to the current reference/material.
history:19,Louis Vuitton,France; United States,historical_identity_or_price_unresolved,,,unresolved,FALSE,New/current 2026 family in supplied capture; no 2020–2025 historical series identified.
history:20,Dior,France; United States,historical_identity_or_price_unresolved,,,unresolved,FALSE,Current seasonal 2026 product; no earlier retail-price observation identified.
history:21,Dior,France; United States,historical_identity_or_price_unresolved,,,unresolved,FALSE,"Family introduced in 2023, but accepted sources did not provide a dated price for the mapped current size/material."
history:22,Dior,France; United States,historical_identity_or_price_unresolved,,,unresolved,FALSE,Current official product found; no accepted dated historical price evidence.
conflict:history:HM-H01-FR-2023-2022,Hermès,FR,source_conflict,H085408CKAW,,retained_for_sensitivity,TRUE,Both values retained; excluded from primary history path.
conflict:history:HM-H01-FR-2023-2024,Hermès,FR,source_conflict,H085408CKAW,,retained_for_sensitivity,TRUE,Both values retained; excluded from primary history path.
