pair_id,source_effective_date,market,chanel_reference_code,chanel_family,chanel_size_label,chanel_dimensions_cm,chanel_dimension_signature_cm,chanel_scope_status,chanel_regular_special,lv_reference_code,lv_family,lv_size_label,lv_dimensions_cm,lv_dimension_signature_cm,lv_scope_status,lv_regular_special,lv_availability_status,axis_diff_cm,axis_tolerance_cm,chanel_core_family_count,lv_core_family_count,dimension_match,decision_status,block_reason,chanel_source_url,lv_source_url
W4-PAIR-AS3260-B19059-94305-LV-M12068,2026-09-08,US,AS3260-B19059-94305,CHANEL 22,small,35.1 x 37.1 x 7.1 cm,37.1 x 35.1 x 7.1 cm,status_pending,not_disclosed,M12068,Coussin,MM,38.1 x 33.0 x 9.9 cm,38.1 x 33 x 9.9 cm,status_pending,not_disclosed,not_disclosed,1 x 2.1 x 2.8 cm,3.8 x 3.5 x 2 cm,2,2,FALSE,not_a_dimension_intersection,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS3260B1905994305/chanel-22-small-handbag-shiny-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/coussin-hobo-mm-h32-nvprod5900076v/M12068
W4-PAIR-AS3260-B19059-94305-LV-M27937,2026-09-08,US,AS3260-B19059-94305,CHANEL 22,small,35.1 x 37.1 x 7.1 cm,37.1 x 35.1 x 7.1 cm,status_pending,not_disclosed,M27937,Hobo Métis,unknown,35.1 x 32.5 x 9.9 cm,35.1 x 32.5 x 9.9 cm,unknown_size,not_disclosed,out_of_stock,2 x 2.6 x 2.8 cm,3.7 x 3.5 x 2 cm,2,2,FALSE,not_a_dimension_intersection,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS3260B1905994305/chanel-22-small-handbag-shiny-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/hobo-metis-monogram-empreinte-nvprod7300029v/M27937
W4-PAIR-AS3260-B19059-94305-LV-M2A323,2026-09-08,US,AS3260-B19059-94305,CHANEL 22,small,35.1 x 37.1 x 7.1 cm,37.1 x 35.1 x 7.1 cm,status_pending,not_disclosed,M2A323,Hobo,PM,23.9 x 27.9 x 16.0 cm,27.9 x 23.9 x 16 cm,status_pending,not_disclosed,available_online,9.2 x 11.2 x 8.9 cm,3.7 x 3.5 x 2 cm,2,2,FALSE,not_a_dimension_intersection,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS3260B1905994305/chanel-22-small-handbag-shiny-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/low-key-hobo-pm-h31-nvprod5580029v/M2A323
W4-PAIR-AS3260-B19059-94305-LV-M46725,2026-09-08,US,AS3260-B19059-94305,CHANEL 22,small,35.1 x 37.1 x 7.1 cm,37.1 x 35.1 x 7.1 cm,status_pending,not_disclosed,M46725,Loop,unknown,38.1 x 25.9 x 9.9 cm,38.1 x 25.9 x 9.9 cm,unknown_size,not_disclosed,not_disclosed,1 x 9.2 x 2.8 cm,3.8 x 3.5 x 2 cm,2,2,FALSE,not_a_dimension_intersection,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS3260B1905994305/chanel-22-small-handbag-shiny-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/loop-hobo-monogram-empreinte-nvprod4790052v/M46725
W4-PAIR-AS5293-B20304-94305-LV-M12068,2026-09-08,US,AS5293-B20304-94305,CHANEL 25,small,30.0 x 25.9 x 14.0 cm,30 x 25.9 x 14 cm,status_pending,not_disclosed,M12068,Coussin,MM,38.1 x 33.0 x 9.9 cm,38.1 x 33 x 9.9 cm,status_pending,not_disclosed,not_disclosed,8.1 x 7.1 x 4.1 cm,3.8 x 3.3 x 2 cm,2,2,FALSE,not_a_dimension_intersection,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/coussin-hobo-mm-h32-nvprod5900076v/M12068
W4-PAIR-AS5293-B20304-94305-LV-M27937,2026-09-08,US,AS5293-B20304-94305,CHANEL 25,small,30.0 x 25.9 x 14.0 cm,30 x 25.9 x 14 cm,status_pending,not_disclosed,M27937,Hobo Métis,unknown,35.1 x 32.5 x 9.9 cm,35.1 x 32.5 x 9.9 cm,unknown_size,not_disclosed,out_of_stock,5.1 x 6.6 x 4.1 cm,3.5 x 3.2 x 2 cm,2,2,FALSE,not_a_dimension_intersection,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/hobo-metis-monogram-empreinte-nvprod7300029v/M27937
W4-PAIR-AS5293-B20304-94305-LV-M2A323,2026-09-08,US,AS5293-B20304-94305,CHANEL 25,small,30.0 x 25.9 x 14.0 cm,30 x 25.9 x 14 cm,status_pending,not_disclosed,M2A323,Hobo,PM,23.9 x 27.9 x 16.0 cm,27.9 x 23.9 x 16 cm,status_pending,not_disclosed,available_online,2.1 x 2 x 2 cm,3 x 2.6 x 2 cm,2,2,TRUE,directional_dimension_candidate,blocked_regular_special_undisclosed;blocked_sample_insufficient,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/low-key-hobo-pm-h31-nvprod5580029v/M2A323
W4-PAIR-AS5293-B20304-94305-LV-M46725,2026-09-08,US,AS5293-B20304-94305,CHANEL 25,small,30.0 x 25.9 x 14.0 cm,30 x 25.9 x 14 cm,status_pending,not_disclosed,M46725,Loop,unknown,38.1 x 25.9 x 9.9 cm,38.1 x 25.9 x 9.9 cm,unknown_size,not_disclosed,not_disclosed,8.1 x 0 x 4.1 cm,3.8 x 2.6 x 2 cm,2,2,FALSE,not_a_dimension_intersection,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/loop-hobo-monogram-empreinte-nvprod4790052v/M46725
W4-PAIR-AS6617-B26218-94305-LV-M12068,2026-09-08,US,AS6617-B26218-94305,Small Hobo,small,18.0 x 23.9 x 6.1 cm,23.9 x 18 x 6.1 cm,seasonal_excluded,seasonal_collection,M12068,Coussin,MM,38.1 x 33.0 x 9.9 cm,38.1 x 33 x 9.9 cm,status_pending,not_disclosed,not_disclosed,14.2 x 15 x 3.8 cm,3.8 x 3.3 x 2 cm,2,2,FALSE,not_a_dimension_intersection,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS6617B2621894305/small-hobo-bag-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/coussin-hobo-mm-h32-nvprod5900076v/M12068
W4-PAIR-AS6617-B26218-94305-LV-M27937,2026-09-08,US,AS6617-B26218-94305,Small Hobo,small,18.0 x 23.9 x 6.1 cm,23.9 x 18 x 6.1 cm,seasonal_excluded,seasonal_collection,M27937,Hobo Métis,unknown,35.1 x 32.5 x 9.9 cm,35.1 x 32.5 x 9.9 cm,unknown_size,not_disclosed,out_of_stock,11.2 x 14.5 x 3.8 cm,3.5 x 3.2 x 2 cm,2,2,FALSE,not_a_dimension_intersection,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS6617B2621894305/small-hobo-bag-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/hobo-metis-monogram-empreinte-nvprod7300029v/M27937
W4-PAIR-AS6617-B26218-94305-LV-M2A323,2026-09-08,US,AS6617-B26218-94305,Small Hobo,small,18.0 x 23.9 x 6.1 cm,23.9 x 18 x 6.1 cm,seasonal_excluded,seasonal_collection,M2A323,Hobo,PM,23.9 x 27.9 x 16.0 cm,27.9 x 23.9 x 16 cm,status_pending,not_disclosed,available_online,4 x 5.9 x 9.9 cm,2.8 x 2.4 x 2 cm,2,2,FALSE,not_a_dimension_intersection,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS6617B2621894305/small-hobo-bag-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/low-key-hobo-pm-h31-nvprod5580029v/M2A323
W4-PAIR-AS6617-B26218-94305-LV-M46725,2026-09-08,US,AS6617-B26218-94305,Small Hobo,small,18.0 x 23.9 x 6.1 cm,23.9 x 18 x 6.1 cm,seasonal_excluded,seasonal_collection,M46725,Loop,unknown,38.1 x 25.9 x 9.9 cm,38.1 x 25.9 x 9.9 cm,unknown_size,not_disclosed,not_disclosed,14.2 x 7.9 x 3.8 cm,3.8 x 2.6 x 2 cm,2,2,FALSE,not_a_dimension_intersection,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS6617B2621894305/small-hobo-bag-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/loop-hobo-monogram-empreinte-nvprod4790052v/M46725
