pair_id,source_effective_date,market,chanel_reference_code,chanel_family,chanel_size_label,peer_brand,peer_reference_code,peer_family,peer_size_label,chanel_dimension_signature_cm,peer_dimension_signature_cm,axis_diff_cm,axis_tolerance_cm,dimension_match,same_size_label,block_reason,chanel_source_url,peer_source_url
W6-DIM-AS3260-B19059-94305-Dior-M2867PDUN_M18S,2026-09-09,US,AS3260-B19059-94305,CHANEL 22,small,Dior,M2867PDUN_M18S,Dior Toujours,small,37.1 x 35.1 x 7.1 cm,22.5 x 14 x 7.5 cm,14.6 x 21.1 x 0.4 cm,3.7 x 3.5 x 2 cm,FALSE,TRUE,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS3260B1905994305/chanel-22-small-handbag-shiny-calfskin-gold-tone-metal/,https://www.dior.com/en_us/fashion/products/M2867PDUN_M18S
W6-DIM-AS3260-B19059-94305-Dior-M9319UMOL_M900,2026-09-09,US,AS3260-B19059-94305,CHANEL 22,small,Dior,M9319UMOL_M900,Dior Bobby,medium,37.1 x 35.1 x 7.1 cm,22.5 x 17.5 x 6.5 cm,14.6 x 17.6 x 0.6 cm,3.7 x 3.5 x 2 cm,FALSE,FALSE,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS3260B1905994305/chanel-22-small-handbag-shiny-calfskin-gold-tone-metal/,https://www.dior.com/en_us/fashion/products/M9319UMOL_M900
W6-DIM-AS3260-B19059-94305-Louis_Vuitton-M12068,2026-09-09,US,AS3260-B19059-94305,CHANEL 22,small,Louis Vuitton,M12068,Coussin,MM,37.1 x 35.1 x 7.1 cm,38.1 x 33 x 9.9 cm,1 x 2.1 x 2.8 cm,3.8 x 3.5 x 2 cm,FALSE,FALSE,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS3260B1905994305/chanel-22-small-handbag-shiny-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/coussin-hobo-mm-h32-nvprod5900076v/M12068
W6-DIM-AS3260-B19059-94305-Louis_Vuitton-M25354,2026-09-09,US,AS3260-B19059-94305,CHANEL 22,small,Louis Vuitton,M25354,Low Key,PM,37.1 x 35.1 x 7.1 cm,27.9 x 23.9 x 16 cm,9.2 x 11.2 x 8.9 cm,3.7 x 3.5 x 2 cm,FALSE,FALSE,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS3260B1905994305/chanel-22-small-handbag-shiny-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/low-key-hobo-pm-h31-nvprod5580029v/M25354
W6-DIM-AS3260-B19059-94305-Louis_Vuitton-M47180,2026-09-09,US,AS3260-B19059-94305,CHANEL 22,small,Louis Vuitton,M47180,CarryAll,PM,37.1 x 35.1 x 7.1 cm,29.5 x 23.9 x 11.9 cm,7.6 x 11.2 x 4.8 cm,3.7 x 3.5 x 2 cm,FALSE,FALSE,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS3260B1905994305/chanel-22-small-handbag-shiny-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/carryall-pm-monogram-empreinte-nvprod3990011v/M47180
W6-DIM-AS5293-B20304-94305-Dior-M2867PDUN_M18S,2026-09-09,US,AS5293-B20304-94305,CHANEL 25,small,Dior,M2867PDUN_M18S,Dior Toujours,small,30 x 25.9 x 14 cm,22.5 x 14 x 7.5 cm,7.5 x 11.9 x 6.5 cm,3 x 2.6 x 2 cm,FALSE,TRUE,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://www.dior.com/en_us/fashion/products/M2867PDUN_M18S
W6-DIM-AS5293-B20304-94305-Dior-M9319UMOL_M900,2026-09-09,US,AS5293-B20304-94305,CHANEL 25,small,Dior,M9319UMOL_M900,Dior Bobby,medium,30 x 25.9 x 14 cm,22.5 x 17.5 x 6.5 cm,7.5 x 8.4 x 7.5 cm,3 x 2.6 x 2 cm,FALSE,FALSE,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://www.dior.com/en_us/fashion/products/M9319UMOL_M900
W6-DIM-AS5293-B20304-94305-Louis_Vuitton-M12068,2026-09-09,US,AS5293-B20304-94305,CHANEL 25,small,Louis Vuitton,M12068,Coussin,MM,30 x 25.9 x 14 cm,38.1 x 33 x 9.9 cm,8.1 x 7.1 x 4.1 cm,3.8 x 3.3 x 2 cm,FALSE,FALSE,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/coussin-hobo-mm-h32-nvprod5900076v/M12068
W6-DIM-AS5293-B20304-94305-Louis_Vuitton-M25354,2026-09-09,US,AS5293-B20304-94305,CHANEL 25,small,Louis Vuitton,M25354,Low Key,PM,30 x 25.9 x 14 cm,27.9 x 23.9 x 16 cm,2.1 x 2 x 2 cm,3 x 2.6 x 2 cm,TRUE,FALSE,,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/low-key-hobo-pm-h31-nvprod5580029v/M25354
W6-DIM-AS5293-B20304-94305-Louis_Vuitton-M47180,2026-09-09,US,AS5293-B20304-94305,CHANEL 25,small,Louis Vuitton,M47180,CarryAll,PM,30 x 25.9 x 14 cm,29.5 x 23.9 x 11.9 cm,0.5 x 2 x 2.1 cm,3 x 2.6 x 2 cm,FALSE,FALSE,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/carryall-pm-monogram-empreinte-nvprod3990011v/M47180
