source_id,brand,source_type,source_name,source_url,archive_url,source_effective_date,accessed_at,primary_or_secondary,source_quality,notes
SRC-CH-C01-BAGAHOLIC-2024,Chanel,historical_secondary_table,Bagaholic Chanel Classic EU price reference guide 2024,https://lvbagaholic.com/fr/blogs/blog-de-bagaholic-1/chanel-classic-bag-sac-eu-prix-list-reference-guide,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Table rows for 2022–2024 medium Classic.
SRC-CH-C01-CURRENT-FR,Chanel,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://www.chanel.com/fr/mode/p/A01112Y04059U8390/sac-classique-11-12-agneau-metal-dore/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CH-C01-CURRENT-US,Chanel,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://www.chanel.com/us/fashion/p/A01112Y04059U8390/classic-11-12-handbag-lambskin-gold-tone-metal/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CH-C02-BAGAHOLIC-2024,Chanel,historical_secondary_table,Bagaholic Chanel Classic EU price reference guide 2024,https://lvbagaholic.com/fr/blogs/blog-de-bagaholic-1/chanel-classic-bag-sac-eu-prix-list-reference-guide,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Table rows for 2022–2024 Small Classic.
SRC-CH-C02-CURRENT-FR,Chanel,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://www.chanel.com/fr/mode/p/A01113Y01864C3906/petit-sac-classique-veau-graine-metal-dore/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CH-C02-CURRENT-US,Chanel,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://www.chanel.com/us/fashion/p/A01113Y01864C3906/small-classic-handbag-grained-calfskin-gold-tone-metal/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CH-C03-BAGAHOLIC-2024,Chanel,historical_secondary_table,Bagaholic Chanel Classic EU price reference guide 2024,https://lvbagaholic.com/fr/blogs/blog-de-bagaholic-1/chanel-classic-bag-sac-eu-prix-list-reference-guide,,2024,2026-08-16T17:58:39+08:00,secondary,MEDIUM,Table rows for 2022–2024 square mini.
SRC-CH-C03-CURRENT-FR,Chanel,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (FR),https://www.chanel.com/fr/mode/p/A35200Y0405994305/mini-sac-classique-agneau-metal-dore/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CH-C03-CURRENT-US,Chanel,official_current_product_page,Official localized current product page captured in supplied 2026 current dataset (US),https://www.chanel.com/us/fashion/p/A35200Y0405994305/mini-classic-handbag-lambskin-gold-tone-metal/,,2026-08-15,2026-08-16T17:58:39+08:00,primary,HIGH,Current 2026 anchor inherited from the supplied official localized product-page capture; not reinterpreted as a historical source.
SRC-CH-C03-PURSEBOP-2020,Chanel,historical_secondary_table,PurseBop Chanel price increase 2020,https://www.pursebop.com/chanel-admits-to-price-increase-here-are-the-new-prices-2020/,,2020,2026-08-16T17:58:39+08:00,secondary,MEDIUM,2020 square-mini price point; source table also includes a prior price.
